episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-10.463615,85,2.1,2026-09-20 21:23:27
2,1000,-3.806376,85,2.9,2026-09-20 21:23:28
3,1000,-12.461458,85,3.8,2026-09-20 21:23:28
4,1000,-7.744030,85,4.7,2026-09-20 21:23:29
5,1000,-7.860556,85,5.6,2026-09-20 21:23:30
6,1000,-9.012725,85,6.4,2026-09-20 21:23:31
7,1000,-13.340011,85,7.3,2026-09-20 21:23:32
8,1000,-11.257253,85,8.2,2026-09-20 21:23:33
9,1000,-12.590641,85,9.1,2026-09-20 21:23:34
10,1000,-14.003899,85,10.0,2026-09-20 21:23:35
11,1000,-16.863708,85,10.9,2026-09-20 21:23:36
12,1000,-12.422300,85,11.8,2026-09-20 21:23:37
13,1000,-7.832316,85,12.7,2026-09-20 21:23:37
14,1000,-6.730307,85,13.6,2026-09-20 21:23:38
15,1000,-8.924266,85,14.5,2026-09-20 21:23:39
16,1000,-12.459427,85,15.4,2026-09-20 21:23:40
17,1000,-11.814374,85,16.3,2026-09-20 21:23:41
18,1000,-17.677237,85,17.2,2026-09-20 21:23:42
19,1000,-10.304420,85,18.1,2026-09-20 21:23:43
20,1000,-2.578687,85,19.0,2026-09-20 21:23:44
21,1000,-12.118627,85,19.9,2026-09-20 21:23:45
22,1000,-13.917659,85,20.8,2026-09-20 21:23:45
23,1000,-12.065818,85,21.7,2026-09-20 21:23:46
24,1000,-7.471461,85,22.6,2026-09-20 21:23:47
25,1000,-7.981775,85,23.4,2026-09-20 21:23:48
26,1000,-9.676780,85,24.4,2026-09-20 21:23:49
27,1000,-15.855025,85,25.3,2026-09-20 21:23:50
28,1000,-14.601328,85,26.2,2026-09-20 21:23:51
29,1000,-14.979857,85,27.1,2026-09-20 21:23:52
30,1000,-15.169737,85,28.0,2026-09-20 21:23:53
31,1000,-14.860892,85,28.9,2026-09-20 21:23:54
32,1000,-18.299801,85,31.0,2026-09-20 21:23:56
