episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-8.385473,85,1.7,2026-09-20 21:09:12
2,1000,-12.697387,85,2.4,2026-09-20 21:09:13
3,1000,-10.989147,85,3.1,2026-09-20 21:09:14
4,1000,-11.397505,85,3.8,2026-09-20 21:09:14
5,1000,-10.000558,85,4.5,2026-09-20 21:09:15
6,1000,-9.188251,85,5.2,2026-09-20 21:09:16
7,1000,-9.363829,85,5.9,2026-09-20 21:09:16
8,1000,-12.512727,85,6.5,2026-09-20 21:09:17
9,1000,-6.714243,85,7.3,2026-09-20 21:09:18
10,1000,-6.522862,85,7.9,2026-09-20 21:09:18
11,1000,-5.523264,85,8.6,2026-09-20 21:09:19
12,1000,-5.443031,85,9.2,2026-09-20 21:09:20
13,1000,-7.417044,85,9.9,2026-09-20 21:09:20
14,1000,-8.727667,85,10.5,2026-09-20 21:09:21
15,1000,-5.786509,85,11.3,2026-09-20 21:09:22
16,1000,-4.760695,85,11.9,2026-09-20 21:09:22
17,1000,-12.319234,85,12.7,2026-09-20 21:09:23
18,1000,-8.534843,85,13.2,2026-09-20 21:09:24
19,1000,-11.562419,85,14.0,2026-09-20 21:09:25
20,1000,-13.832818,85,14.8,2026-09-20 21:09:25
21,1000,-5.634064,85,15.5,2026-09-20 21:09:26
22,1000,-8.027273,85,16.1,2026-09-20 21:09:27
23,1000,-7.933557,85,16.8,2026-09-20 21:09:27
24,1000,-13.477074,85,17.4,2026-09-20 21:09:28
25,1000,-17.274987,85,18.2,2026-09-20 21:09:29
26,1000,-14.815870,85,18.8,2026-09-20 21:09:29
27,1000,-11.182795,85,19.5,2026-09-20 21:09:30
28,1000,-13.217569,85,20.1,2026-09-20 21:09:31
29,1000,-11.093198,85,20.9,2026-09-20 21:09:31
30,1000,-8.127003,85,21.4,2026-09-20 21:09:32
31,1000,-9.770451,85,22.2,2026-09-20 21:09:33
32,1000,-11.351820,85,23.8,2026-09-20 21:09:34
33,1000,-6.164317,85,24.5,2026-09-20 21:09:35
34,1000,-8.696525,85,25.3,2026-09-20 21:09:36
35,1000,-11.890176,85,26.0,2026-09-20 21:09:37
36,1000,-3.729534,85,26.6,2026-09-20 21:09:37
37,1000,-10.334603,85,27.3,2026-09-20 21:09:38
38,1000,-16.028970,85,28.1,2026-09-20 21:09:39
39,1000,-10.705040,85,28.7,2026-09-20 21:09:39
40,1000,-11.929407,85,29.4,2026-09-20 21:09:40
41,1000,-12.603545,85,30.0,2026-09-20 21:09:41
42,1000,-9.480708,85,30.8,2026-09-20 21:09:41
43,1000,-9.519846,85,31.4,2026-09-20 21:09:42
