episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-1.198013,85,1.5,2026-09-20 20:18:29
2,1000,-1.634043,85,1.9,2026-09-20 20:18:30
3,1000,-0.691365,85,2.3,2026-09-20 20:18:30
4,1000,-0.479962,85,2.7,2026-09-20 20:18:30
5,1000,-0.584856,85,3.2,2026-09-20 20:18:31
6,1000,-0.292349,85,3.6,2026-09-20 20:18:31
7,1000,-0.401123,85,4.0,2026-09-20 20:18:32
8,1000,-0.660979,85,4.4,2026-09-20 20:18:32
9,1000,-0.329917,85,4.8,2026-09-20 20:18:32
10,1000,-1.817228,85,5.2,2026-09-20 20:18:33
11,1000,-0.628581,85,5.6,2026-09-20 20:18:33
12,1000,-0.668874,85,6.0,2026-09-20 20:18:34
13,1000,-0.360615,85,6.4,2026-09-20 20:18:34
14,1000,-0.283072,85,6.8,2026-09-20 20:18:35
15,1000,-0.290177,85,7.3,2026-09-20 20:18:35
16,1000,-0.273173,85,7.7,2026-09-20 20:18:35
17,1000,-1.204436,85,8.1,2026-09-20 20:18:36
18,1000,-0.434006,85,8.5,2026-09-20 20:18:36
19,1000,-0.639413,85,9.0,2026-09-20 20:18:37
20,1000,-0.638192,85,9.4,2026-09-20 20:18:37
21,1000,-0.476121,85,9.8,2026-09-20 20:18:38
22,1000,-0.330867,85,10.3,2026-09-20 20:18:38
23,1000,-1.509311,85,10.7,2026-09-20 20:18:38
24,1000,-0.710699,85,11.1,2026-09-20 20:18:39
25,1000,-0.310763,85,11.6,2026-09-20 20:18:39
26,1000,-0.524116,85,12.0,2026-09-20 20:18:40
27,1000,-0.270590,85,12.4,2026-09-20 20:18:40
28,1000,-0.493837,85,12.8,2026-09-20 20:18:40
29,1000,-0.260169,85,13.2,2026-09-20 20:18:41
30,1000,-0.469356,85,13.6,2026-09-20 20:18:41
31,1000,-1.719584,85,14.0,2026-09-20 20:18:42
32,1000,-1.375948,85,15.5,2026-09-20 20:18:43
33,1000,-1.362232,85,15.9,2026-09-20 20:18:44
34,1000,-1.949490,85,16.3,2026-09-20 20:18:44
35,1000,-4.930271,85,16.8,2026-09-20 20:18:44
