episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-15.041601,85,1.5,2026-09-20 20:21:08
2,1000,-10.419279,85,2.0,2026-09-20 20:21:08
3,1000,-16.056483,85,2.4,2026-09-20 20:21:09
4,1000,-16.579040,85,2.9,2026-09-20 20:21:09
5,1000,-12.438919,85,3.3,2026-09-20 20:21:09
6,1000,-6.804657,85,3.7,2026-09-20 20:21:10
7,1000,-14.719217,85,4.1,2026-09-20 20:21:10
8,1000,-8.530940,85,4.5,2026-09-20 20:21:11
9,1000,-12.861464,85,4.9,2026-09-20 20:21:11
10,1000,-13.216691,85,5.4,2026-09-20 20:21:12
11,1000,-9.353741,85,5.8,2026-09-20 20:21:12
12,1000,-9.893360,85,6.2,2026-09-20 20:21:12
13,1000,-5.525872,85,6.6,2026-09-20 20:21:13
14,1000,-16.072194,85,7.0,2026-09-20 20:21:13
15,1000,-9.003277,85,7.5,2026-09-20 20:21:14
16,1000,-11.875418,85,7.9,2026-09-20 20:21:14
17,1000,-14.262285,85,8.3,2026-09-20 20:21:14
18,1000,-14.398148,85,8.7,2026-09-20 20:21:15
19,1000,-10.290823,85,9.1,2026-09-20 20:21:15
20,1000,-16.063049,85,9.5,2026-09-20 20:21:16
21,1000,-11.027846,85,9.9,2026-09-20 20:21:16
22,1000,-13.127690,85,10.4,2026-09-20 20:21:17
23,1000,-9.260420,85,10.8,2026-09-20 20:21:17
24,1000,-9.676369,85,11.2,2026-09-20 20:21:17
25,1000,-13.441970,85,11.6,2026-09-20 20:21:18
26,1000,-14.896984,85,12.0,2026-09-20 20:21:18
27,1000,-14.984071,85,12.5,2026-09-20 20:21:19
28,1000,-12.023545,85,12.9,2026-09-20 20:21:19
29,1000,-16.470042,85,13.3,2026-09-20 20:21:20
30,1000,-13.028023,85,13.7,2026-09-20 20:21:20
31,1000,-7.587497,85,14.1,2026-09-20 20:21:20
32,1000,-8.244432,85,15.6,2026-09-20 20:21:22
33,1000,-11.882811,85,16.0,2026-09-20 20:21:22
34,1000,-25.352462,85,16.4,2026-09-20 20:21:23
35,1000,-20.285877,85,16.8,2026-09-20 20:21:23
36,1000,-22.230352,85,17.2,2026-09-20 20:21:23
37,1000,-17.884081,85,17.6,2026-09-20 20:21:24
38,1000,-15.157777,85,18.1,2026-09-20 20:21:24
39,1000,-6.224588,85,18.5,2026-09-20 20:21:25
40,1000,-8.872836,85,18.9,2026-09-20 20:21:25
41,1000,-7.392138,85,19.3,2026-09-20 20:21:26
42,1000,-12.956710,85,19.7,2026-09-20 20:21:26
43,1000,-8.728831,85,20.2,2026-09-20 20:21:26
44,1000,-13.373483,85,20.6,2026-09-20 20:21:27
45,1000,-15.958309,85,21.0,2026-09-20 20:21:27
46,1000,-12.423741,85,21.4,2026-09-20 20:21:28
47,1000,-14.878389,85,21.9,2026-09-20 20:21:28
48,1000,-23.651761,82,22.3,2026-09-20 20:21:28
49,1000,-15.709620,85,22.7,2026-09-20 20:21:29
50,1000,-10.705624,85,23.1,2026-09-20 20:21:29
51,1000,-12.630833,85,23.5,2026-09-20 20:21:30
52,1000,-20.739870,85,23.9,2026-09-20 20:21:30
53,1000,-19.139436,85,24.3,2026-09-20 20:21:31
54,1000,-22.681902,85,24.8,2026-09-20 20:21:31
55,1000,-7.670043,85,25.2,2026-09-20 20:21:31
56,1000,-12.373955,85,25.6,2026-09-20 20:21:32
57,1000,-24.753515,85,26.0,2026-09-20 20:21:32
58,1000,-6.090740,85,26.4,2026-09-20 20:21:33
59,1000,-19.191006,85,26.8,2026-09-20 20:21:33
60,1000,-8.909774,85,27.3,2026-09-20 20:21:33
61,1000,-8.921342,85,27.7,2026-09-20 20:21:34
62,1000,-14.839548,85,28.1,2026-09-20 20:21:34
63,1000,-11.101642,85,29.4,2026-09-20 20:21:36
64,1000,-11.526836,85,29.8,2026-09-20 20:21:36
65,1000,-12.209309,85,30.2,2026-09-20 20:21:36
66,1000,-4.846986,85,30.6,2026-09-20 20:21:37
67,1000,-7.967277,85,31.0,2026-09-20 20:21:37
68,1000,-13.875748,85,31.5,2026-09-20 20:21:38
69,1000,-6.327229,85,31.9,2026-09-20 20:21:38
70,1000,-4.380707,85,32.3,2026-09-20 20:21:39
71,1000,-10.621381,85,32.7,2026-09-20 20:21:39
72,1000,-7.800525,85,33.2,2026-09-20 20:21:39
73,1000,-9.067929,85,33.6,2026-09-20 20:21:40
74,1000,-10.813356,85,34.0,2026-09-20 20:21:40
75,1000,-6.098032,85,34.4,2026-09-20 20:21:41
76,1000,-7.950653,85,34.8,2026-09-20 20:21:41
77,1000,-9.851972,85,35.3,2026-09-20 20:21:41
78,1000,-8.174646,85,35.7,2026-09-20 20:21:42
79,1000,-12.374215,85,36.1,2026-09-20 20:21:42
80,1000,-7.905089,85,36.5,2026-09-20 20:21:43
81,1000,-8.780117,85,36.9,2026-09-20 20:21:43
82,1000,-19.446208,85,37.3,2026-09-20 20:21:44
83,1000,-8.608667,85,37.8,2026-09-20 20:21:44
84,1000,-9.595333,85,38.2,2026-09-20 20:21:44
85,1000,-10.932309,85,38.6,2026-09-20 20:21:45
86,1000,-5.908043,85,39.0,2026-09-20 20:21:45
87,1000,-7.860009,85,39.5,2026-09-20 20:21:46
88,1000,-4.421219,85,39.9,2026-09-20 20:21:46
89,1000,-11.385248,85,40.3,2026-09-20 20:21:46
90,1000,-9.642652,85,40.7,2026-09-20 20:21:47
91,1000,-6.579113,85,41.1,2026-09-20 20:21:47
92,1000,-20.584907,85,41.5,2026-09-20 20:21:48
93,1000,-9.492401,85,42.0,2026-09-20 20:21:48
94,1000,-9.845471,85,43.2,2026-09-20 20:21:49
95,1000,-10.090559,85,43.6,2026-09-20 20:21:50
96,1000,-7.968972,85,44.0,2026-09-20 20:21:50
97,1000,-5.274303,85,44.5,2026-09-20 20:21:51
98,1000,-11.092851,85,44.9,2026-09-20 20:21:51
99,1000,-16.497292,85,45.3,2026-09-20 20:21:51
100,1000,-11.775633,85,45.7,2026-09-20 20:21:52
101,1000,-6.045533,85,46.1,2026-09-20 20:21:52
102,1000,-21.414138,85,46.5,2026-09-20 20:21:53
103,1000,-10.676408,85,46.9,2026-09-20 20:21:53
104,1000,-9.142664,85,47.4,2026-09-20 20:21:54
105,1000,-5.220395,85,47.8,2026-09-20 20:21:54
106,1000,-29.573087,85,48.2,2026-09-20 20:21:54
107,1000,-5.804002,85,48.6,2026-09-20 20:21:55
108,1000,-8.264433,85,49.1,2026-09-20 20:21:55
109,1000,-7.411720,85,49.5,2026-09-20 20:21:56
