episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-12.377466,85,1.5,2026-09-20 20:42:48
2,1000,-11.556412,85,2.0,2026-09-20 20:42:49
3,1000,-10.128554,85,2.4,2026-09-20 20:42:49
4,1000,-11.449696,85,2.9,2026-09-20 20:42:50
5,1000,-33.369616,85,3.4,2026-09-20 20:42:50
6,1000,-12.534408,85,3.8,2026-09-20 20:42:51
7,1000,-18.657552,85,4.2,2026-09-20 20:42:51
8,1000,-17.805436,85,4.6,2026-09-20 20:42:51
9,1000,-11.638220,85,5.1,2026-09-20 20:42:52
10,1000,-22.267164,85,5.5,2026-09-20 20:42:52
11,1000,-11.663979,85,6.0,2026-09-20 20:42:53
12,1000,-12.349076,85,6.4,2026-09-20 20:42:53
13,1000,-9.658523,85,6.9,2026-09-20 20:42:54
14,1000,-12.789812,85,7.3,2026-09-20 20:42:54
15,1000,-12.352945,85,7.7,2026-09-20 20:42:55
16,1000,-15.896867,85,8.2,2026-09-20 20:42:55
17,1000,-6.683369,85,8.6,2026-09-20 20:42:55
18,1000,-13.816942,85,9.0,2026-09-20 20:42:56
19,1000,-16.805005,85,9.4,2026-09-20 20:42:56
20,1000,-12.390960,85,9.9,2026-09-20 20:42:57
21,1000,-15.837647,85,10.3,2026-09-20 20:42:57
22,1000,-5.943724,85,10.7,2026-09-20 20:42:58
23,1000,-11.373212,85,11.1,2026-09-20 20:42:58
24,1000,-10.744749,85,11.6,2026-09-20 20:42:58
25,1000,-10.520054,85,12.0,2026-09-20 20:42:59
26,1000,-20.046464,85,12.4,2026-09-20 20:42:59
27,1000,-14.439375,85,12.8,2026-09-20 20:43:00
28,1000,-13.830969,85,13.3,2026-09-20 20:43:00
29,1000,-11.751802,85,13.7,2026-09-20 20:43:00
30,1000,-9.610865,85,14.1,2026-09-20 20:43:01
31,1000,-13.542349,85,14.6,2026-09-20 20:43:01
32,1000,-8.983832,85,16.0,2026-09-20 20:43:03
33,1000,-21.130251,85,16.4,2026-09-20 20:43:03
34,1000,-9.891252,85,16.8,2026-09-20 20:43:04
35,1000,-11.963253,85,17.3,2026-09-20 20:43:04
