episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-16.019458,85,1.5,2026-09-20 20:28:41
2,1000,-15.103047,85,2.0,2026-09-20 20:28:41
3,1000,-10.638136,85,2.4,2026-09-20 20:28:42
4,1000,-16.091905,85,2.9,2026-09-20 20:28:42
5,1000,-16.770571,85,3.3,2026-09-20 20:28:42
6,1000,-10.753553,85,3.7,2026-09-20 20:28:43
7,1000,-7.593032,85,4.2,2026-09-20 20:28:43
8,1000,-20.276359,85,4.6,2026-09-20 20:28:44
9,1000,-6.329873,85,5.0,2026-09-20 20:28:44
10,1000,-15.877756,85,5.5,2026-09-20 20:28:45
11,1000,-12.174502,85,5.9,2026-09-20 20:28:45
12,1000,-18.526409,85,6.4,2026-09-20 20:28:46
13,1000,-19.375655,85,6.8,2026-09-20 20:28:46
14,1000,-12.431809,85,7.2,2026-09-20 20:28:46
15,1000,-13.144859,85,7.7,2026-09-20 20:28:47
16,1000,-14.930885,85,8.1,2026-09-20 20:28:47
17,1000,-13.352365,85,8.5,2026-09-20 20:28:48
18,1000,-20.765868,85,9.0,2026-09-20 20:28:48
19,1000,-20.070576,85,9.4,2026-09-20 20:28:49
20,1000,-11.714335,85,9.9,2026-09-20 20:28:49
21,1000,-10.210704,85,10.3,2026-09-20 20:28:49
22,1000,-20.058380,85,10.7,2026-09-20 20:28:50
23,1000,-16.866263,85,11.2,2026-09-20 20:28:50
24,1000,-23.511056,85,11.6,2026-09-20 20:28:51
25,1000,-10.065704,85,12.0,2026-09-20 20:28:51
26,1000,-18.619087,85,12.5,2026-09-20 20:28:52
27,1000,-13.945313,85,12.9,2026-09-20 20:28:52
28,1000,-13.465578,85,13.4,2026-09-20 20:28:53
29,1000,-13.588049,85,13.8,2026-09-20 20:28:53
30,1000,-13.957760,85,14.3,2026-09-20 20:28:53
31,1000,-15.100606,85,14.7,2026-09-20 20:28:54
32,1000,-16.930164,85,16.2,2026-09-20 20:28:55
33,1000,-9.616890,85,16.7,2026-09-20 20:28:56
34,1000,-18.505919,85,17.1,2026-09-20 20:28:56
35,1000,-7.105812,85,17.6,2026-09-20 20:28:57
36,1000,-20.769484,85,18.0,2026-09-20 20:28:57
37,1000,-13.533739,85,18.4,2026-09-20 20:28:58
38,1000,-6.954581,85,18.9,2026-09-20 20:28:58
39,1000,-17.324854,85,19.3,2026-09-20 20:28:58
40,1000,-11.137978,85,19.8,2026-09-20 20:28:59
41,1000,-11.659187,85,20.3,2026-09-20 20:28:59
42,1000,-14.354297,85,20.7,2026-09-20 20:29:00
43,1000,-15.824456,85,21.1,2026-09-20 20:29:00
44,1000,-10.041983,85,21.5,2026-09-20 20:29:01
45,1000,-4.919295,85,22.0,2026-09-20 20:29:01
46,1000,-14.607912,85,22.4,2026-09-20 20:29:02
47,1000,-11.691578,85,22.8,2026-09-20 20:29:02
48,1000,-17.042420,85,23.3,2026-09-20 20:29:02
49,1000,-21.152494,85,23.7,2026-09-20 20:29:03
50,1000,-20.434761,85,24.2,2026-09-20 20:29:03
51,1000,-8.901553,85,24.7,2026-09-20 20:29:04
52,1000,-11.412335,85,25.1,2026-09-20 20:29:04
53,1000,-7.494977,85,25.6,2026-09-20 20:29:05
54,1000,-16.304780,85,26.0,2026-09-20 20:29:05
55,1000,-10.764691,85,26.4,2026-09-20 20:29:06
56,1000,-12.872444,85,26.9,2026-09-20 20:29:06
57,1000,-7.759888,85,27.3,2026-09-20 20:29:06
58,1000,-12.905814,85,27.7,2026-09-20 20:29:07
59,1000,-16.435970,85,28.2,2026-09-20 20:29:07
60,1000,-9.137220,85,28.7,2026-09-20 20:29:08
61,1000,-12.475742,85,29.2,2026-09-20 20:29:08
62,1000,-17.682496,85,29.6,2026-09-20 20:29:09
63,1000,-12.546539,85,30.9,2026-09-20 20:29:10
64,1000,-12.900745,85,31.3,2026-09-20 20:29:10
65,1000,-13.837842,85,31.8,2026-09-20 20:29:11
