variant,config,nRuns,nSuccess,abortRate,K1_mean,K1_std,K1_median,K2_mean,K2_std,K2_median,K4_mean,K4_std,K4_median,T2_mean
nominal weights,PPO_optimized,5,5,0,-0.195733844715115,0.126364785095107,-0.169719480292026,0.00499896167039434,0.00160644954818481,0.00474628026056363,0.0252233394498388,0.0206847627523604,0.0147745165048544,8.64880686033333
W_p = 0,PPO_optimized,5,5,0,-6.79148391459226,1.41186761357821,-5.90454493825293,0.259225092796404,0.0552419766638061,0.225250697699852,0.0135766005541743,0.00449998468559718,0.0134966024589376,7.40048540866667
W_v = 0,PPO_optimized,5,5,0,-0.263973992083562,0.18003117342892,-0.247605115007321,0.0054234297924428,0.00302122622091763,0.00394891096110705,0.0330717013931979,0.0253244163579557,0.0224054490607102,7.46005878733333
W_ori = 0,PPO_optimized,5,4,0.2,-0.834245574764658,0.50637695428938,-0.948246460772173,0.0030305439839616,0.00152907052765965,0.00268508089770749,0.10369926571599,0.0525926489900311,0.119843457248067,8.45163571458333
W_wb = 0,PPO_optimized,5,5,0,-0.143852182199425,0.0956225978213008,-0.109011360249263,0.00405280094175393,0.00261717976470387,0.00308717310075481,0.0224932513660193,0.00689359802568633,0.024263929139752,9.23863288033333
W_vb = 0,PPO_optimized,5,5,0,-0.162695535244763,0.0806489768225994,-0.164901103125518,0.00478213170033711,0.00216017994861471,0.00568399600340269,0.0174855044253209,0.0139210800406446,0.0117328772366967,10.363896835
W_u = 0,PPO_optimized,5,5,0,-0.142371723006587,0.103831726792437,-0.111105773045817,0.00420378536200814,0.00296698777357707,0.00371982833891478,0.0187079497719295,0.00956693951587503,0.015672414622579,11.2443971943333
W_d = 0,PPO_optimized,5,5,0,-0.274703760203622,0.184890119468635,-0.164044579549884,0.00632317430224141,0.00419734483834978,0.00504213731031361,0.0350335957362873,0.0249509700938132,0.026149920054842,11.664492032
k_p = 0,PPO_optimized,5,5,0,-0.114720618254658,0.0592776529972125,-0.0901601103392138,0.00358590360638341,0.00203061833725069,0.00254779742856361,0.01489058983069,0.00614294398380168,0.0175854948819025,14.0215909036667
k_b = 0,PPO_optimized,5,5,0,-0.226193206883598,0.0872004759595844,-0.251331898105957,0.00565458860992235,0.00418082972678967,0.00464449606754448,0.0310378525697268,0.0179860349967717,0.0293148705481869,15.0828887676667
