variant,config,nRuns,nSuccess,abortRate,K1_mean,K1_std,K1_median,K2_mean,K2_std,K2_median,K4_mean,K4_std,K4_median,T2_mean
nominal weights,PPO_default,5,2,0.6,-0.747563400224904,0.152712548258,-0.747563400224904,0.0159723944767431,0.00955167781821885,0.0159723944767431,0.0438373167651281,0.0142584405985252,0.0438373167651281,7.99520388333333
nominal weights,SAC_default,5,3,0.4,-6.21561762619682,4.5762821664578,-4.43027243387028,0.21876404990623,0.166426644839047,0.15857549168604,0.0674673960686145,0.0505684162954395,0.0724104634449921,35.1683355888889
nominal weights,TRPO_default,5,5,0,-0.251127576705636,0.195371006123754,-0.192432030430005,0.00778055759954023,0.00759469155735211,0.00390968628216366,0.0232718470567385,0.00538522593751274,0.0208283936389961,10.6674155083333
W_ori x0.5,PPO_default,5,1,0.8,-2.13171007836339,NaN,-2.13171007836339,0.0673381727857058,NaN,0.0673381727857058,0.0674713435207471,NaN,0.0674713435207471,16.7071258683333
W_ori x0.5,SAC_default,5,2,0.6,-6.40944336903872,1.01738874718948,-6.40944336903872,0.175195092707718,0.0127824756611609,0.175195092707718,0.158879507557487,0.0810573525853115,0.158879507557487,27.5821018508333
W_ori x0.5,TRPO_default,5,5,0,-0.211653507992069,0.0743853490359281,-0.185405055935467,0.00451732156957145,0.000798605517304735,0.00465723881640573,0.0378113113509512,0.0255927087805987,0.0375545331981502,8.557198636
W_ori x2,PPO_default,5,1,0.8,-2.2094865376118,NaN,-2.2094865376118,0.0614156806399318,NaN,0.0614156806399318,0.0451202652065312,NaN,0.0451202652065312,17.01856434
W_ori x2,SAC_default,5,3,0.4,-7.78410610036975,3.71175145017191,-7.13537652936107,0.245724587364019,0.168094438679206,0.162714249365989,0.128858500862988,0.122711929326482,0.0801756048247463,27.8336133961111
W_ori x2,TRPO_default,5,5,0,-0.884852303132834,1.15415835823941,-0.314998425951621,0.0306934969388985,0.0434547980873891,0.00564941245610827,0.0273081460086468,0.0161435723298391,0.0197148552671923,8.54252629533334
W_p x0.5,PPO_default,5,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
W_p x0.5,SAC_default,5,2,0.6,-18.5077310468446,14.2172701807886,-18.5077310468446,0.448036246555306,0.260552593550507,0.448036246555306,0.301781836432971,0.177870180386094,0.301781836432971,27.9449161066667
W_p x0.5,TRPO_default,5,5,0,-0.541090207883073,0.295116556758124,-0.463728621844748,0.0180413397876595,0.0105307826902889,0.0162872177262264,0.0278000802824605,0.0116669523271097,0.022862801654437,8.528263607
W_p x2,PPO_default,5,2,0.6,-2.32527407910449,2.05703505525689,-2.32527407910449,0.0721695339667931,0.0685625544303836,0.0721695339667931,0.0580883777413329,0.0150168254838828,0.0580883777413329,16.468308395
W_p x2,SAC_default,5,1,0.709677419354839,-4.41691595966358,NaN,-4.41691595966358,0.146037852147297,NaN,0.146037852147297,0.0516180035864116,NaN,0.0516180035864116,27.536939205
W_p x2,TRPO_default,5,5,0,-0.389676464060944,0.460652039984725,-0.179763948448271,0.0101947914308449,0.0140340606179571,0.00332940547535915,0.0382192246217225,0.0157203314169304,0.035436727126138,8.483151763
