config,seed,nEpisodes,nAbort,nAbortCollision,success,K1,K2,K3,K4,K5,K6,K7,K8,K9,T1,T2
PPO_default,0,31,31,0,0,-37.9642759254778,0.296253013151939,1.27017151928911,0.0861072759681799,0,0.00497797705369409,0.356129710439545,0.0424519073939289,3.60332793354728,3.36325793611745,16.78744585
PPO_default,1,31,31,0,0,-68.6056890648294,0.954355675448465,1.86730957953015,0.339445650349793,0,0.00613879003558719,0.0286740393693679,0.345180404348117,5.6298326445372,13.9320481592776,16.7033282916667
PPO_default,2,31,0,0,1,-2.13171007836339,0.0673381727857058,0.56558371086205,0.0674713435207471,0,0,0.139623584565002,0.0332428965150483,9.9253436354088,5.82705503603131,16.7071258683333
PPO_default,3,31,31,0,0,-71.2619190975905,1.29763373061845,2.48057789723199,0.116653607917291,0,0.00916347381864623,0.0764538343587642,0.144247295606987,1.75435923538929,15.0717074381357,16.3822115
PPO_default,4,31,31,31,0,-136.790765111502,2.12545459662319,3.01004463798178,0.29344619645529,1,0,0.0495836758968042,0.312207810396627,3.62687661270787,14.501447538253,16.5193399633333
SAC_default,0,31,31,0,0,-45.8811359861684,0.543221911671118,1.47556831047927,0.376484308023798,0,0.00481083430918299,0.0150034495127819,0.161237176376477,3.05826446955768,17.2626976206816,27.295614115
SAC_default,1,31,0,0,1,-7.12884585127929,0.166156517487359,0.854513520795252,0.21619571123559,0,0,0.183958310065404,0.0611945752919315,14.5044705017358,11.9162076793547,27.38065809
SAC_default,2,31,31,31,0,-90.914447870513,1.21594348998713,2.54260977101943,0.214609672882192,1,0,0.0472265570962005,0.155270127237346,2.48673445787865,16.4871343131415,28.0898753666667
SAC_default,3,31,31,0,0,-16.4144838661068,0.214391820900301,1.83838835851762,0.167853522446072,0,0.00454130621802507,0.403877614100632,0.141118096250543,16.2242491728855,15.0588560490812,27.4543133516667
SAC_default,4,31,0,0,1,-5.69004088679815,0.184233667928077,0.883360337278555,0.101563303879385,0,0,0.282940058241326,0.0377096230838624,5.79471639887993,10.4850200529519,27.7835456116667
TRPO_default,0,31,0,0,1,-0.335243816029622,0.00347792127127489,0.158888793700886,0.0786525499989973,0,0,0.00820815425015217,0.0124357646208215,2.38475748038532,0.394032181854014,8.52966091833333
TRPO_default,1,31,0,0,1,-0.167299975715665,0.0052818606184542,0.195079894277704,0.017024846818166,0,0,0.00859494460090291,0.0104914791583063,1.81603890309836,0.141243101557926,8.53742943833333
TRPO_default,2,31,0,0,1,-0.185405055935467,0.00392999269508485,0.161193518119925,0.0375545331981502,0,0,0.00980211929341336,0.0141210220213276,1.95298116884639,0.195999288872154,8.58528294666667
TRPO_default,3,31,0,0,1,-0.147755749529981,0.00465723881640573,0.217327576961054,0.0151879895812011,0,0,0.0107195356296506,0.00967632754560519,2.35852799329386,0.114077068584109,8.53842323833333
TRPO_default,4,31,0,0,1,-0.222562942749612,0.00523959444663756,0.162232258434114,0.0406366371582415,0,0,0.0092827251928393,0.0165328132233018,3.32964959204456,0.308501951744674,8.59519663833333
