episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-8.503055,85,2.9,2026-09-20 17:36:33
2,1000,-6.136202,85,6.1,2026-09-20 17:36:36
3,1000,-14.842998,85,7.1,2026-09-20 17:36:37
4,1000,-6.516515,85,7.8,2026-09-20 17:36:38
5,1000,-5.800106,85,8.5,2026-09-20 17:36:38
6,1000,-31.499702,63,9.1,2026-09-20 17:36:39
7,1000,-16.376107,85,9.7,2026-09-20 17:36:40
8,1000,-45.628709,85,10.3,2026-09-20 17:36:40
9,1000,-27.397312,85,11.0,2026-09-20 17:36:41
10,1000,-6.251839,85,11.7,2026-09-20 17:36:42
11,1000,-6.017427,85,12.4,2026-09-20 17:36:42
12,1000,-10.798851,85,13.2,2026-09-20 17:36:43
13,1000,-5.772126,85,14.4,2026-09-20 17:36:44
14,1000,-4.732155,85,15.6,2026-09-20 17:36:45
15,1000,-16.847721,85,16.4,2026-09-20 17:36:46
16,1000,-8.097508,85,17.3,2026-09-20 17:36:47
17,1000,-13.400799,85,18.2,2026-09-20 17:36:48
18,1000,-9.578882,85,18.9,2026-09-20 17:36:49
19,1000,-4.226580,85,19.7,2026-09-20 17:36:50
20,1000,-2.819094,85,20.5,2026-09-20 17:36:50
21,1000,-10.467754,85,21.7,2026-09-20 17:36:52
22,1000,-20.601157,85,22.5,2026-09-20 17:36:52
23,1000,-8.547746,85,23.3,2026-09-20 17:36:53
24,1000,-31.539497,85,24.4,2026-09-20 17:36:54
25,1000,-19.514473,85,25.2,2026-09-20 17:36:55
26,1000,-13.233935,85,26.1,2026-09-20 17:36:56
27,1000,-5.927182,85,27.0,2026-09-20 17:36:57
28,1000,-12.761016,85,27.9,2026-09-20 17:36:58
29,1000,-9.928489,85,29.5,2026-09-20 17:36:59
30,1000,-4.239132,85,30.7,2026-09-20 17:37:01
31,1000,-4.930094,85,31.7,2026-09-20 17:37:02
32,1000,-7.202731,85,32.6,2026-09-20 17:37:03
33,1000,-12.321594,85,33.6,2026-09-20 17:37:03
34,1000,-31.831597,85,34.6,2026-09-20 17:37:05
35,1000,-14.130564,85,35.7,2026-09-20 17:37:06
36,1000,-10.185737,85,36.8,2026-09-20 17:37:07
37,1000,-13.950166,85,37.8,2026-09-20 17:37:08
38,1000,-2.696080,85,38.9,2026-09-20 17:37:09
39,1000,-8.211756,85,40.0,2026-09-20 17:37:10
40,1000,-10.526978,85,41.3,2026-09-20 17:37:11
41,1000,-15.860606,85,43.2,2026-09-20 17:37:13
42,1000,-6.740934,85,45.4,2026-09-20 17:37:15
43,1000,-11.031435,85,47.2,2026-09-20 17:37:17
44,1000,-17.599790,85,48.3,2026-09-20 17:37:18
45,1000,-10.907845,85,49.5,2026-09-20 17:37:19
46,1000,-17.670777,85,50.7,2026-09-20 17:37:21
47,1000,-8.002068,85,51.9,2026-09-20 17:37:22
48,1000,-11.701702,85,53.1,2026-09-20 17:37:23
49,1000,-10.246964,85,54.3,2026-09-20 17:37:24
50,1000,-9.067640,85,55.5,2026-09-20 17:37:25
51,1000,-5.017340,85,56.8,2026-09-20 17:37:27
52,1000,-8.156446,85,58.1,2026-09-20 17:37:28
53,1000,-14.922645,85,59.3,2026-09-20 17:37:29
54,1000,-16.596685,85,60.6,2026-09-20 17:37:31
55,1000,-14.616075,85,62.0,2026-09-20 17:37:32
56,1000,-21.476505,85,63.4,2026-09-20 17:37:33
57,1000,-7.418581,85,64.8,2026-09-20 17:37:35
58,1000,-13.589824,85,66.3,2026-09-20 17:37:36
59,1000,-18.547533,85,67.7,2026-09-20 17:37:38
60,1000,-8.644340,85,69.1,2026-09-20 17:37:39
61,1000,-7.307890,85,70.5,2026-09-20 17:37:40
62,1000,-31.001683,85,72.0,2026-09-20 17:37:42
63,1000,-4.649722,85,73.4,2026-09-20 17:37:43
64,1000,-8.478433,85,74.9,2026-09-20 17:37:45
65,1000,-13.102687,85,76.3,2026-09-20 17:37:46
66,1000,-12.156118,85,77.8,2026-09-20 17:37:48
67,1000,-13.161540,85,79.3,2026-09-20 17:37:49
68,1000,-7.974252,85,80.9,2026-09-20 17:37:51
69,1000,-14.594248,85,82.4,2026-09-20 17:37:52
70,1000,-12.473699,85,84.0,2026-09-20 17:37:54
71,1000,-9.234704,85,85.6,2026-09-20 17:37:56
72,1000,-19.383105,85,87.2,2026-09-20 17:37:57
73,1000,-19.004171,85,88.9,2026-09-20 17:37:59
74,1000,-3.891207,85,90.5,2026-09-20 17:38:00
75,1000,-8.066174,85,92.2,2026-09-20 17:38:02
76,1000,-18.040973,85,93.9,2026-09-20 17:38:04
77,1000,-9.525155,85,95.7,2026-09-20 17:38:06
78,1000,-13.836692,85,97.4,2026-09-20 17:38:07
79,1000,-2.444357,85,99.1,2026-09-20 17:38:09
80,1000,-9.506698,85,100.9,2026-09-20 17:38:11
81,1000,-11.908583,85,102.6,2026-09-20 17:38:12
82,1000,-8.851791,85,104.3,2026-09-20 17:38:14
83,1000,-4.226282,85,106.0,2026-09-20 17:38:16
84,1000,-10.065908,85,107.6,2026-09-20 17:38:18
85,1000,-6.060392,85,109.3,2026-09-20 17:38:19
86,1000,-11.828099,85,111.0,2026-09-20 17:38:21
87,1000,-22.517708,85,112.7,2026-09-20 17:38:23
88,1000,-4.590939,85,114.4,2026-09-20 17:38:24
89,1000,-16.168946,85,116.1,2026-09-20 17:38:26
90,1000,-10.927572,85,117.8,2026-09-20 17:38:28
91,1000,-9.941218,85,119.5,2026-09-20 17:38:29
92,1000,-11.142279,85,121.2,2026-09-20 17:38:31
93,1000,-14.453299,85,122.9,2026-09-20 17:38:33
94,1000,-20.049407,85,124.5,2026-09-20 17:38:34
95,1000,-13.902805,85,126.3,2026-09-20 17:38:36
96,1000,-9.243210,85,128.0,2026-09-20 17:38:38
97,1000,-12.408691,85,129.7,2026-09-20 17:38:40
