episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-3.517240,85,2.3,2026-09-20 23:49:18
2,1000,-6.628751,85,3.3,2026-09-20 23:49:19
3,1000,-5.740787,85,4.3,2026-09-20 23:49:20
4,1000,-4.719356,85,5.4,2026-09-20 23:49:21
5,1000,-4.923585,85,6.4,2026-09-20 23:49:22
6,1000,-3.783293,85,7.4,2026-09-20 23:49:23
7,1000,-4.086340,85,8.4,2026-09-20 23:49:24
8,1000,-5.634903,85,9.5,2026-09-20 23:49:25
9,1000,-3.483350,85,10.4,2026-09-20 23:49:26
10,1000,-3.306939,85,11.5,2026-09-20 23:49:27
11,1000,-2.803453,85,12.5,2026-09-20 23:49:28
12,1000,-2.595405,85,13.5,2026-09-20 23:49:29
13,1000,-3.708224,85,14.5,2026-09-20 23:49:30
14,1000,-3.694674,85,15.6,2026-09-20 23:49:31
15,1000,-3.520369,85,16.6,2026-09-20 23:49:32
16,1000,-2.379369,85,17.6,2026-09-20 23:49:33
17,1000,-55.928963,56,19.0,2026-09-20 23:49:35
18,1000,-59.449335,48,19.9,2026-09-20 23:49:36
19,1000,-61.283340,46,21.0,2026-09-20 23:49:37
20,1000,-59.565441,45,22.0,2026-09-20 23:49:38
21,1000,-64.064573,48,23.0,2026-09-20 23:49:39
22,1000,-51.876389,48,24.0,2026-09-20 23:49:40
23,1000,-65.257730,41,25.0,2026-09-20 23:49:41
24,1000,-51.133149,48,26.1,2026-09-20 23:49:42
25,1000,-57.203285,46,27.1,2026-09-20 23:49:43
26,1000,-51.207875,44,28.1,2026-09-20 23:49:44
27,1000,-64.308134,48,29.1,2026-09-20 23:49:45
28,1000,-58.707753,47,30.1,2026-09-20 23:49:46
29,1000,-55.801845,51,31.1,2026-09-20 23:49:47
30,1000,-60.307582,45,32.1,2026-09-20 23:49:48
31,1000,-63.263122,42,33.1,2026-09-20 23:49:49
32,1000,-56.260042,54,34.2,2026-09-20 23:49:50
33,1000,-57.756763,50,35.2,2026-09-20 23:49:51
34,1000,-61.200319,54,36.2,2026-09-20 23:49:52
35,1000,-56.448743,53,37.2,2026-09-20 23:49:53
36,1000,-50.479459,51,38.2,2026-09-20 23:49:54
37,1000,-58.837781,50,39.3,2026-09-20 23:49:55
38,1000,-61.930918,44,40.3,2026-09-20 23:49:56
39,1000,-53.573124,54,41.3,2026-09-20 23:49:57
