episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-6.872789,85,1.7,2026-09-20 19:35:37
2,1000,-6.499819,85,2.2,2026-09-20 19:35:37
3,1000,-6.678409,85,2.6,2026-09-20 19:35:38
4,1000,-7.136256,85,3.0,2026-09-20 19:35:38
5,1000,-24.036451,85,3.4,2026-09-20 19:35:39
6,1000,-9.596188,85,3.9,2026-09-20 19:35:39
7,1000,-11.830786,85,4.3,2026-09-20 19:35:40
8,1000,-10.849173,85,4.7,2026-09-20 19:35:40
9,1000,-6.758370,85,5.2,2026-09-20 19:35:40
10,1000,-14.542477,85,5.6,2026-09-20 19:35:41
11,1000,-6.823766,85,6.0,2026-09-20 19:35:41
12,1000,-6.901013,85,6.4,2026-09-20 19:35:42
13,1000,-5.332776,85,6.8,2026-09-20 19:35:42
14,1000,-7.896502,85,7.3,2026-09-20 19:35:43
15,1000,-8.097048,85,7.7,2026-09-20 19:35:43
16,1000,-9.265096,85,8.1,2026-09-20 19:35:43
17,1000,-10.183901,85,10.6,2026-09-20 19:35:46
18,1000,-7.836716,85,11.0,2026-09-20 19:35:46
19,1000,-4.841222,85,11.3,2026-09-20 19:35:47
20,1000,-5.948837,85,11.7,2026-09-20 19:35:47
21,1000,-5.062364,85,12.1,2026-09-20 19:35:47
22,1000,-13.547087,85,12.5,2026-09-20 19:35:48
23,1000,-6.477831,85,12.9,2026-09-20 19:35:48
24,1000,-6.536815,85,13.3,2026-09-20 19:35:49
25,1000,-10.927926,85,13.7,2026-09-20 19:35:49
26,1000,-8.184304,85,14.1,2026-09-20 19:35:49
27,1000,-7.220325,85,14.5,2026-09-20 19:35:50
28,1000,-4.907438,85,14.9,2026-09-20 19:35:50
29,1000,-10.724542,85,15.3,2026-09-20 19:35:51
30,1000,-9.179886,85,15.7,2026-09-20 19:35:51
31,1000,-3.351955,85,16.1,2026-09-20 19:35:51
32,1000,-8.102937,85,16.5,2026-09-20 19:35:52
33,1000,-15.652779,85,18.7,2026-09-20 19:35:54
34,1000,-9.992629,85,19.1,2026-09-20 19:35:54
35,1000,-13.436469,85,19.5,2026-09-20 19:35:55
36,1000,-14.248770,85,19.9,2026-09-20 19:35:55
37,1000,-5.396097,85,20.3,2026-09-20 19:35:56
38,1000,-10.219276,85,20.7,2026-09-20 19:35:56
39,1000,-9.507042,85,21.1,2026-09-20 19:35:56
40,1000,-14.618764,85,21.5,2026-09-20 19:35:57
41,1000,-12.338600,85,21.9,2026-09-20 19:35:57
42,1000,-9.212828,85,22.3,2026-09-20 19:35:58
43,1000,-5.637155,85,22.7,2026-09-20 19:35:58
44,1000,-10.618369,85,23.1,2026-09-20 19:35:58
45,1000,-6.336247,85,23.5,2026-09-20 19:35:59
46,1000,-8.144448,85,23.9,2026-09-20 19:35:59
47,1000,-7.905934,85,24.3,2026-09-20 19:36:00
48,1000,-9.855325,85,24.7,2026-09-20 19:36:00
49,1000,-7.473160,85,26.8,2026-09-20 19:36:02
50,1000,-9.735453,85,27.2,2026-09-20 19:36:02
51,1000,-7.495058,85,27.6,2026-09-20 19:36:03
52,1000,-14.036827,85,28.0,2026-09-20 19:36:03
53,1000,-10.126564,85,28.4,2026-09-20 19:36:04
54,1000,-13.671310,85,28.8,2026-09-20 19:36:04
55,1000,-4.103801,85,29.2,2026-09-20 19:36:04
56,1000,-8.436761,85,29.6,2026-09-20 19:36:05
57,1000,-8.916590,85,30.0,2026-09-20 19:36:05
58,1000,-15.021063,85,30.4,2026-09-20 19:36:06
59,1000,-8.612668,85,30.8,2026-09-20 19:36:06
60,1000,-12.068853,85,31.2,2026-09-20 19:36:06
61,1000,-12.975087,85,31.6,2026-09-20 19:36:07
62,1000,-3.777452,85,32.1,2026-09-20 19:36:07
63,1000,-17.912676,81,32.5,2026-09-20 19:36:08
64,1000,-6.380451,85,32.9,2026-09-20 19:36:08
65,1000,-13.647490,85,34.7,2026-09-20 19:36:10
66,1000,-5.635995,85,35.1,2026-09-20 19:36:10
67,1000,-12.581221,85,35.5,2026-09-20 19:36:11
68,1000,-5.448118,85,35.8,2026-09-20 19:36:11
69,1000,-7.874970,85,36.2,2026-09-20 19:36:12
70,1000,-8.276994,85,36.6,2026-09-20 19:36:12
71,1000,-7.685114,85,37.0,2026-09-20 19:36:12
72,1000,-6.434474,85,37.4,2026-09-20 19:36:13
73,1000,-12.684666,85,37.9,2026-09-20 19:36:13
74,1000,-16.389260,85,38.3,2026-09-20 19:36:14
75,1000,-5.037557,85,38.7,2026-09-20 19:36:14
76,1000,-5.264616,85,39.1,2026-09-20 19:36:14
77,1000,-10.323687,85,39.5,2026-09-20 19:36:15
78,1000,-8.209767,85,39.9,2026-09-20 19:36:15
79,1000,-4.647719,85,40.3,2026-09-20 19:36:16
80,1000,-8.320136,85,40.7,2026-09-20 19:36:16
81,1000,-10.485806,85,42.7,2026-09-20 19:36:18
82,1000,-3.188614,85,43.1,2026-09-20 19:36:18
83,1000,-12.419404,85,43.5,2026-09-20 19:36:19
84,1000,-18.207744,85,43.9,2026-09-20 19:36:19
85,1000,-7.896187,85,44.3,2026-09-20 19:36:20
86,1000,-8.437651,85,44.7,2026-09-20 19:36:20
87,1000,-12.376675,85,45.1,2026-09-20 19:36:20
88,1000,-2.149690,85,45.5,2026-09-20 19:36:21
89,1000,-8.809377,85,45.9,2026-09-20 19:36:21
90,1000,-7.721804,85,46.4,2026-09-20 19:36:22
91,1000,-9.428745,85,46.8,2026-09-20 19:36:22
92,1000,-5.593975,85,47.2,2026-09-20 19:36:22
93,1000,-4.164021,85,47.6,2026-09-20 19:36:23
94,1000,-5.612389,85,48.0,2026-09-20 19:36:23
95,1000,-4.478332,85,48.4,2026-09-20 19:36:24
96,1000,-9.463142,85,48.8,2026-09-20 19:36:24
97,1000,-10.695839,85,50.8,2026-09-20 19:36:26
98,1000,-5.714722,85,51.2,2026-09-20 19:36:27
99,1000,-6.297949,85,51.6,2026-09-20 19:36:27
100,1000,-26.561062,77,52.0,2026-09-20 19:36:27
101,1000,-4.181735,85,52.4,2026-09-20 19:36:28
102,1000,-3.961643,85,52.8,2026-09-20 19:36:28
103,1000,-13.462125,85,53.2,2026-09-20 19:36:28
104,1000,-4.607210,85,53.6,2026-09-20 19:36:29
105,1000,-7.142942,85,54.0,2026-09-20 19:36:29
106,1000,-3.445737,85,54.4,2026-09-20 19:36:30
107,1000,-2.905066,85,54.8,2026-09-20 19:36:30
108,1000,-11.646752,85,55.2,2026-09-20 19:36:30
109,1000,-2.088210,85,55.6,2026-09-20 19:36:31
110,1000,-6.973624,85,56.0,2026-09-20 19:36:31
111,1000,-4.395777,85,56.4,2026-09-20 19:36:32
112,1000,-20.683614,81,56.7,2026-09-20 19:36:32
113,1000,-4.973096,85,58.9,2026-09-20 19:36:34
114,1000,-6.613895,85,59.3,2026-09-20 19:36:35
115,1000,-3.424802,85,59.7,2026-09-20 19:36:35
116,1000,-3.037354,85,60.1,2026-09-20 19:36:35
117,1000,-18.436912,85,60.5,2026-09-20 19:36:36
118,1000,-3.727772,85,60.9,2026-09-20 19:36:36
119,1000,-1.920462,85,61.2,2026-09-20 19:36:37
120,1000,-2.110528,85,61.7,2026-09-20 19:36:37
121,1000,-4.527895,85,62.1,2026-09-20 19:36:37
122,1000,-6.762063,85,62.5,2026-09-20 19:36:38
123,1000,-6.319078,85,62.9,2026-09-20 19:36:38
124,1000,-5.775458,85,63.3,2026-09-20 19:36:39
125,1000,-4.040056,85,63.7,2026-09-20 19:36:39
126,1000,-7.377654,85,64.1,2026-09-20 19:36:39
127,1000,-3.318154,85,64.5,2026-09-20 19:36:40
128,1000,-5.703116,85,64.9,2026-09-20 19:36:40
129,1000,-11.307960,85,67.0,2026-09-20 19:36:42
130,1000,-9.083595,85,67.4,2026-09-20 19:36:43
131,1000,-7.939465,85,67.8,2026-09-20 19:36:43
132,1000,-4.286041,85,68.2,2026-09-20 19:36:43
133,1000,-4.383476,85,68.6,2026-09-20 19:36:44
134,1000,-5.920444,85,69.0,2026-09-20 19:36:44
135,1000,-5.666028,85,69.4,2026-09-20 19:36:45
136,1000,-12.443280,85,69.7,2026-09-20 19:36:45
137,1000,-3.514468,85,70.1,2026-09-20 19:36:45
138,1000,-6.920784,85,70.5,2026-09-20 19:36:46
139,1000,-7.833571,85,70.9,2026-09-20 19:36:46
140,1000,-14.683695,85,71.3,2026-09-20 19:36:47
141,1000,-2.948175,85,71.7,2026-09-20 19:36:47
142,1000,-7.138318,85,72.1,2026-09-20 19:36:47
143,1000,-5.175100,85,72.5,2026-09-20 19:36:48
144,1000,-2.063221,85,72.9,2026-09-20 19:36:48
145,1000,-6.764031,85,75.0,2026-09-20 19:36:50
