episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-30.822897,85,1.6,2026-09-20 18:32:13
2,1000,-24.336103,85,2.3,2026-09-20 18:32:14
3,1000,-47.757930,85,2.9,2026-09-20 18:32:15
4,1000,-31.261527,80,3.4,2026-09-20 18:32:15
5,1000,-12.272049,85,3.9,2026-09-20 18:32:16
6,1000,-53.735621,85,4.4,2026-09-20 18:32:16
7,1000,-20.889773,85,4.9,2026-09-20 18:32:17
8,1000,-76.327546,85,5.4,2026-09-20 18:32:17
9,1000,-15.360783,85,5.9,2026-09-20 18:32:18
10,1000,-34.381554,85,6.5,2026-09-20 18:32:18
11,1000,-37.166052,85,7.1,2026-09-20 18:32:19
12,1000,-10.985009,85,7.7,2026-09-20 18:32:19
13,1000,-24.852780,85,8.5,2026-09-20 18:32:20
14,1000,-42.294598,85,9.2,2026-09-20 18:32:21
15,1000,-19.630841,85,9.9,2026-09-20 18:32:22
16,1000,-17.854943,85,10.7,2026-09-20 18:32:22
17,1000,-43.249722,85,11.4,2026-09-20 18:32:23
18,1000,-19.354888,85,12.1,2026-09-20 18:32:24
19,1000,-9.075393,85,12.8,2026-09-20 18:32:25
20,1000,-21.256313,85,13.6,2026-09-20 18:32:25
21,1000,-6.060901,85,14.3,2026-09-20 18:32:26
22,1000,-15.941337,85,15.2,2026-09-20 18:32:27
23,1000,-48.828212,85,16.1,2026-09-20 18:32:28
24,1000,-58.266012,85,16.9,2026-09-20 18:32:29
25,1000,-40.928455,85,17.8,2026-09-20 18:32:29
26,1000,-54.128435,85,18.6,2026-09-20 18:32:30
27,1000,-25.300111,85,19.5,2026-09-20 18:32:31
28,1000,-32.285961,85,20.3,2026-09-20 18:32:32
29,1000,-31.192908,85,21.3,2026-09-20 18:32:33
30,1000,-18.384969,85,22.2,2026-09-20 18:32:34
31,1000,-14.714436,85,23.1,2026-09-20 18:32:35
32,1000,-5.947563,85,24.1,2026-09-20 18:32:36
33,1000,-26.576991,85,25.1,2026-09-20 18:32:37
34,1000,-20.655525,85,26.1,2026-09-20 18:32:38
35,1000,-24.144945,85,27.1,2026-09-20 18:32:39
36,1000,-21.083099,85,28.1,2026-09-20 18:32:40
37,1000,-19.974097,85,29.2,2026-09-20 18:32:41
38,1000,-11.057191,85,30.3,2026-09-20 18:32:42
39,1000,-32.182967,85,31.4,2026-09-20 18:32:43
40,1000,-7.873700,85,32.6,2026-09-20 18:32:44
41,1000,-18.504365,85,33.8,2026-09-20 18:32:45
42,1000,-10.076001,85,34.9,2026-09-20 18:32:47
43,1000,-28.411953,85,36.1,2026-09-20 18:32:48
44,1000,-14.995804,85,37.2,2026-09-20 18:32:49
45,1000,-10.733640,85,38.4,2026-09-20 18:32:50
46,1000,-22.395036,85,39.6,2026-09-20 18:32:51
47,1000,-10.454594,85,40.9,2026-09-20 18:32:53
