episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-8.357158,85,2.3,2026-09-20 22:25:24
2,1000,-11.309255,85,3.2,2026-09-20 22:25:25
3,1000,-10.285909,85,4.2,2026-09-20 22:25:26
4,1000,-11.094808,85,5.1,2026-09-20 22:25:27
5,1000,-9.726995,85,6.1,2026-09-20 22:25:28
6,1000,-9.011910,85,7.0,2026-09-20 22:25:29
7,1000,-9.354357,85,8.0,2026-09-20 22:25:29
8,1000,-12.408786,85,8.9,2026-09-20 22:25:30
9,1000,-6.447233,85,9.8,2026-09-20 22:25:31
10,1000,-6.369271,85,10.7,2026-09-20 22:25:32
11,1000,-5.278210,85,11.7,2026-09-20 22:25:33
12,1000,-5.209485,85,12.6,2026-09-20 22:25:34
13,1000,-7.199052,85,13.5,2026-09-20 22:25:35
14,1000,-8.674883,85,14.5,2026-09-20 22:25:36
15,1000,-4.579526,85,15.4,2026-09-20 22:25:37
16,1000,-4.614630,85,16.3,2026-09-20 22:25:38
17,1000,-12.036707,85,17.3,2026-09-20 22:25:39
18,1000,-8.375624,85,18.2,2026-09-20 22:25:40
19,1000,-11.108345,85,19.1,2026-09-20 22:25:41
20,1000,-13.714034,85,20.1,2026-09-20 22:25:42
21,1000,-5.342130,85,21.0,2026-09-20 22:25:43
22,1000,-7.933289,85,21.9,2026-09-20 22:25:43
23,1000,-7.414383,85,22.8,2026-09-20 22:25:44
24,1000,-11.951720,85,23.8,2026-09-20 22:25:45
25,1000,-15.956082,85,24.7,2026-09-20 22:25:46
26,1000,-14.781385,85,25.6,2026-09-20 22:25:47
27,1000,-11.091493,85,26.6,2026-09-20 22:25:48
28,1000,-13.193618,85,27.5,2026-09-20 22:25:49
29,1000,-9.389718,85,28.4,2026-09-20 22:25:50
30,1000,-8.065808,85,29.4,2026-09-20 22:25:51
31,1000,-9.698946,85,30.3,2026-09-20 22:25:52
32,1000,-11.199478,85,32.5,2026-09-20 22:25:54
33,1000,-6.054822,85,33.4,2026-09-20 22:25:55
34,1000,-8.563942,85,34.4,2026-09-20 22:25:56
35,1000,-11.725216,85,35.3,2026-09-20 22:25:57
36,1000,-3.514535,85,36.2,2026-09-20 22:25:58
37,1000,-10.462690,85,37.2,2026-09-20 22:25:59
38,1000,-15.104586,85,38.1,2026-09-20 22:26:00
39,1000,-10.181540,85,39.0,2026-09-20 22:26:01
40,1000,-11.908344,85,40.0,2026-09-20 22:26:02
41,1000,-11.935473,85,40.9,2026-09-20 22:26:02
42,1000,-9.277865,85,41.9,2026-09-20 22:26:03
43,1000,-9.391849,85,42.8,2026-09-20 22:26:04
44,1000,-10.880617,85,43.7,2026-09-20 22:26:05
45,1000,-10.660257,85,44.7,2026-09-20 22:26:06
46,1000,-5.275473,85,45.6,2026-09-20 22:26:07
47,1000,-4.881761,85,46.6,2026-09-20 22:26:08
48,1000,-18.538043,70,47.5,2026-09-20 22:26:09
49,1000,-12.195423,85,48.4,2026-09-20 22:26:10
50,1000,-11.305421,85,49.4,2026-09-20 22:26:11
51,1000,-7.872160,85,50.3,2026-09-20 22:26:12
52,1000,-9.277101,85,51.3,2026-09-20 22:26:13
53,1000,-8.178846,85,52.2,2026-09-20 22:26:14
54,1000,-11.829531,85,53.1,2026-09-20 22:26:15
55,1000,-15.462740,85,54.1,2026-09-20 22:26:16
56,1000,-4.093048,85,55.0,2026-09-20 22:26:17
57,1000,-7.531841,85,56.0,2026-09-20 22:26:17
58,1000,-7.478030,85,56.9,2026-09-20 22:26:18
59,1000,-12.134091,85,57.8,2026-09-20 22:26:19
60,1000,-10.379798,85,58.8,2026-09-20 22:26:20
61,1000,-9.826184,85,59.7,2026-09-20 22:26:21
62,1000,-8.249824,85,60.6,2026-09-20 22:26:22
63,1000,-5.908138,85,62.5,2026-09-20 22:26:24
64,1000,-6.767652,85,63.5,2026-09-20 22:26:25
65,1000,-8.019004,85,64.4,2026-09-20 22:26:26
66,1000,-6.073256,85,65.3,2026-09-20 22:26:27
67,1000,-8.155070,85,66.3,2026-09-20 22:26:28
