episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-8.221186,85,2.1,2026-09-20 21:39:43
2,1000,-6.157288,85,2.9,2026-09-20 21:39:44
3,1000,-8.459064,85,3.8,2026-09-20 21:39:44
4,1000,-8.615794,85,4.7,2026-09-20 21:39:45
5,1000,-6.606003,85,5.6,2026-09-20 21:39:46
6,1000,-3.647413,85,6.5,2026-09-20 21:39:47
7,1000,-7.661518,85,7.4,2026-09-20 21:39:48
8,1000,-4.684726,85,8.3,2026-09-20 21:39:49
9,1000,-6.686444,85,9.2,2026-09-20 21:39:50
10,1000,-7.636209,85,10.1,2026-09-20 21:39:51
11,1000,-5.078548,85,11.1,2026-09-20 21:39:52
12,1000,-5.380047,85,12.0,2026-09-20 21:39:53
13,1000,-3.005678,85,12.9,2026-09-20 21:39:54
14,1000,-8.280372,85,13.8,2026-09-20 21:39:54
15,1000,-4.728592,85,14.7,2026-09-20 21:39:55
16,1000,-6.156881,85,15.6,2026-09-20 21:39:56
17,1000,-7.816030,85,16.5,2026-09-20 21:39:57
18,1000,-7.491931,85,17.4,2026-09-20 21:39:58
19,1000,-5.564395,85,18.3,2026-09-20 21:39:59
20,1000,-8.456731,85,19.2,2026-09-20 21:40:00
21,1000,-5.831614,85,20.1,2026-09-20 21:40:01
22,1000,-6.833740,85,21.0,2026-09-20 21:40:02
23,1000,-5.450830,85,21.9,2026-09-20 21:40:03
24,1000,-5.296923,85,22.8,2026-09-20 21:40:03
25,1000,-6.967243,85,23.7,2026-09-20 21:40:04
26,1000,-7.816490,85,24.6,2026-09-20 21:40:05
27,1000,-7.709579,85,25.5,2026-09-20 21:40:06
28,1000,-6.381000,85,26.4,2026-09-20 21:40:07
29,1000,-8.455763,85,27.3,2026-09-20 21:40:08
30,1000,-6.828801,85,28.2,2026-09-20 21:40:09
31,1000,-4.763422,85,29.1,2026-09-20 21:40:10
32,1000,-5.172494,85,31.2,2026-09-20 21:40:12
33,1000,-7.182959,85,32.1,2026-09-20 21:40:13
34,1000,-14.000550,85,33.0,2026-09-20 21:40:14
35,1000,-13.586813,85,33.9,2026-09-20 21:40:15
36,1000,-12.529350,85,34.8,2026-09-20 21:40:15
37,1000,-9.463777,85,35.7,2026-09-20 21:40:16
38,1000,-8.113934,85,36.6,2026-09-20 21:40:17
39,1000,-3.295556,85,37.5,2026-09-20 21:40:18
40,1000,-4.809444,85,38.4,2026-09-20 21:40:19
41,1000,-4.234099,85,39.3,2026-09-20 21:40:20
42,1000,-6.873688,85,40.2,2026-09-20 21:40:21
43,1000,-4.898920,85,41.1,2026-09-20 21:40:22
44,1000,-7.102424,85,42.0,2026-09-20 21:40:23
45,1000,-8.355997,85,42.9,2026-09-20 21:40:24
46,1000,-7.297591,85,43.8,2026-09-20 21:40:24
47,1000,-7.779034,85,44.7,2026-09-20 21:40:25
48,1000,-16.863895,84,45.6,2026-09-20 21:40:26
49,1000,-6.644083,85,46.5,2026-09-20 21:40:27
50,1000,-7.583439,85,47.4,2026-09-20 21:40:28
51,1000,-7.659408,85,48.3,2026-09-20 21:40:29
52,1000,-13.010568,85,49.2,2026-09-20 21:40:30
53,1000,-9.561953,85,50.1,2026-09-20 21:40:31
54,1000,-13.320938,85,51.0,2026-09-20 21:40:32
55,1000,-4.156984,85,51.9,2026-09-20 21:40:33
56,1000,-7.281037,85,52.8,2026-09-20 21:40:33
57,1000,-12.710627,85,53.7,2026-09-20 21:40:34
58,1000,-4.041488,85,54.6,2026-09-20 21:40:35
59,1000,-11.442740,85,55.5,2026-09-20 21:40:36
60,1000,-5.465195,85,56.4,2026-09-20 21:40:37
61,1000,-6.154012,85,57.3,2026-09-20 21:40:38
62,1000,-8.756458,85,58.2,2026-09-20 21:40:39
63,1000,-7.214086,85,60.0,2026-09-20 21:40:41
64,1000,-4.316637,85,60.9,2026-09-20 21:40:42
65,1000,-10.530476,85,61.8,2026-09-20 21:40:42
66,1000,-2.941312,85,62.7,2026-09-20 21:40:43
67,1000,-6.570137,85,63.6,2026-09-20 21:40:44
68,1000,-4.907398,85,64.5,2026-09-20 21:40:45
69,1000,-4.730743,85,65.4,2026-09-20 21:40:46
70,1000,-3.589149,85,66.3,2026-09-20 21:40:47
71,1000,-5.726640,85,67.2,2026-09-20 21:40:48
72,1000,-6.957127,85,68.1,2026-09-20 21:40:49
73,1000,-5.658763,85,69.0,2026-09-20 21:40:50
74,1000,-7.363206,85,69.9,2026-09-20 21:40:51
75,1000,-3.649838,85,70.8,2026-09-20 21:40:51
76,1000,-7.655785,85,71.7,2026-09-20 21:40:52
77,1000,-6.069316,85,72.6,2026-09-20 21:40:53
78,1000,-4.698887,85,73.5,2026-09-20 21:40:54
79,1000,-4.504673,85,74.4,2026-09-20 21:40:55
80,1000,-3.788492,85,75.3,2026-09-20 21:40:56
81,1000,-5.758077,85,76.2,2026-09-20 21:40:57
82,1000,-9.639793,85,77.1,2026-09-20 21:40:58
83,1000,-6.343948,85,78.0,2026-09-20 21:40:59
84,1000,-4.962114,85,78.9,2026-09-20 21:41:00
85,1000,-6.028590,85,79.8,2026-09-20 21:41:00
86,1000,-3.107792,85,80.7,2026-09-20 21:41:01
87,1000,-4.091939,85,81.6,2026-09-20 21:41:02
88,1000,-2.476367,85,82.5,2026-09-20 21:41:03
89,1000,-5.929780,85,83.4,2026-09-20 21:41:04
90,1000,-7.695273,85,84.4,2026-09-20 21:41:05
91,1000,-5.486828,85,85.3,2026-09-20 21:41:06
92,1000,-5.778601,85,86.1,2026-09-20 21:41:07
93,1000,-4.599197,85,87.1,2026-09-20 21:41:08
94,1000,-4.565474,85,88.9,2026-09-20 21:41:10
95,1000,-5.996395,85,89.8,2026-09-20 21:41:10
96,1000,-1.778833,85,90.7,2026-09-20 21:41:11
97,1000,-2.027163,85,91.6,2026-09-20 21:41:12
98,1000,-4.537313,85,92.5,2026-09-20 21:41:13
99,1000,-6.538463,85,93.4,2026-09-20 21:41:14
100,1000,-2.131358,85,94.3,2026-09-20 21:41:15
101,1000,-3.173245,85,95.2,2026-09-20 21:41:16
102,1000,-5.898996,85,96.1,2026-09-20 21:41:17
103,1000,-2.387478,85,97.0,2026-09-20 21:41:18
104,1000,-7.116908,85,97.9,2026-09-20 21:41:19
105,1000,-10.213540,85,98.8,2026-09-20 21:41:19
106,1000,-1.121046,85,99.7,2026-09-20 21:41:20
107,1000,-1.843945,85,100.6,2026-09-20 21:41:21
108,1000,-10.954399,85,101.5,2026-09-20 21:41:22
109,1000,-2.633749,85,102.4,2026-09-20 21:41:23
110,1000,-3.916797,85,103.3,2026-09-20 21:41:24
111,1000,-2.706129,85,104.2,2026-09-20 21:41:25
112,1000,-2.485177,85,105.1,2026-09-20 21:41:26
113,1000,-3.749054,85,106.0,2026-09-20 21:41:27
114,1000,-3.645268,85,107.0,2026-09-20 21:41:28
115,1000,-3.554116,85,107.9,2026-09-20 21:41:29
116,1000,-3.605645,85,108.8,2026-09-20 21:41:29
117,1000,-3.414603,85,109.6,2026-09-20 21:41:30
118,1000,-3.023303,85,110.6,2026-09-20 21:41:31
119,1000,-3.644207,85,111.5,2026-09-20 21:41:32
120,1000,-3.606576,85,112.4,2026-09-20 21:41:33
121,1000,-5.449806,85,113.3,2026-09-20 21:41:34
122,1000,-4.907345,85,114.2,2026-09-20 21:41:35
123,1000,-6.266369,85,115.1,2026-09-20 21:41:36
124,1000,-3.277343,85,116.0,2026-09-20 21:41:37
125,1000,-30.171693,65,117.8,2026-09-20 21:41:38
126,1000,-4.869354,85,118.7,2026-09-20 21:41:39
127,1000,-3.153710,85,119.7,2026-09-20 21:41:40
128,1000,-8.006998,85,120.6,2026-09-20 21:41:41
129,1000,-7.837658,85,121.5,2026-09-20 21:41:42
130,1000,-6.665103,85,122.4,2026-09-20 21:41:43
131,1000,-3.885188,85,123.3,2026-09-20 21:41:44
132,1000,-4.711674,85,124.2,2026-09-20 21:41:45
133,1000,-6.859811,85,125.0,2026-09-20 21:41:46
134,1000,-26.366528,80,126.0,2026-09-20 21:41:47
135,1000,-3.987311,85,126.9,2026-09-20 21:41:48
136,1000,-2.930305,85,127.8,2026-09-20 21:41:48
137,1000,-4.879263,85,128.7,2026-09-20 21:41:49
138,1000,-19.945444,77,129.6,2026-09-20 21:41:50
139,1000,-13.394139,84,130.5,2026-09-20 21:41:51
140,1000,-3.534137,85,131.4,2026-09-20 21:41:52
141,1000,-34.924670,62,132.3,2026-09-20 21:41:53
142,1000,-6.126872,85,133.2,2026-09-20 21:41:54
143,1000,-4.859029,85,134.1,2026-09-20 21:41:55
144,1000,-3.421246,85,135.0,2026-09-20 21:41:56
145,1000,-6.565083,85,135.9,2026-09-20 21:41:57
146,1000,-11.494306,85,136.8,2026-09-20 21:41:57
147,1000,-3.297280,85,137.7,2026-09-20 21:41:58
148,1000,-5.750801,85,138.6,2026-09-20 21:41:59
149,1000,-26.594457,68,139.5,2026-09-20 21:42:00
150,1000,-14.399115,85,140.4,2026-09-20 21:42:01
151,1000,-8.054853,85,141.3,2026-09-20 21:42:02
152,1000,-2.504283,85,142.2,2026-09-20 21:42:03
153,1000,-3.337900,85,143.2,2026-09-20 21:42:04
154,1000,-3.519889,85,144.1,2026-09-20 21:42:05
155,1000,-11.012745,85,145.0,2026-09-20 21:42:06
156,1000,-15.549965,78,146.8,2026-09-20 21:42:07
157,1000,-10.048533,85,147.7,2026-09-20 21:42:08
158,1000,-8.833490,85,148.6,2026-09-20 21:42:09
159,1000,-5.512824,85,149.6,2026-09-20 21:42:10
160,1000,-16.785990,77,150.5,2026-09-20 21:42:11
161,1000,-10.010873,85,151.4,2026-09-20 21:42:12
162,1000,-2.937818,85,152.3,2026-09-20 21:42:13
163,1000,-22.497901,70,153.2,2026-09-20 21:42:14
164,1000,-4.897901,85,154.1,2026-09-20 21:42:15
165,1000,-3.707100,85,155.0,2026-09-20 21:42:16
166,1000,-39.905356,54,155.9,2026-09-20 21:42:17
167,1000,-1.993943,85,156.7,2026-09-20 21:42:17
168,1000,-18.024566,75,157.6,2026-09-20 21:42:18
169,1000,-3.440754,85,158.5,2026-09-20 21:42:19
170,1000,-6.194803,85,159.5,2026-09-20 21:42:20
171,1000,-31.365147,63,160.3,2026-09-20 21:42:21
172,1000,-3.651041,85,161.3,2026-09-20 21:42:22
173,1000,-4.467749,85,162.2,2026-09-20 21:42:23
174,1000,-13.685461,85,163.1,2026-09-20 21:42:24
175,1000,-3.975861,85,164.0,2026-09-20 21:42:25
176,1000,-2.337490,85,164.9,2026-09-20 21:42:26
177,1000,-28.591740,63,165.8,2026-09-20 21:42:26
178,1000,-3.054415,85,166.7,2026-09-20 21:42:27
179,1000,-37.768299,59,167.5,2026-09-20 21:42:28
180,1000,-45.735338,48,168.4,2026-09-20 21:42:29
181,1000,-13.305123,85,169.3,2026-09-20 21:42:30
182,1000,-9.244354,85,170.1,2026-09-20 21:42:31
183,1000,-1.461360,85,171.0,2026-09-20 21:42:32
184,1000,-3.789194,85,171.9,2026-09-20 21:42:33
185,1000,-8.239561,85,172.9,2026-09-20 21:42:34
186,1000,-43.854496,52,173.7,2026-09-20 21:42:34
187,1000,-4.463311,85,174.5,2026-09-20 21:42:35
188,1000,-31.470420,58,175.4,2026-09-20 21:42:36
189,1000,-11.467516,85,177.2,2026-09-20 21:42:38
190,1000,-17.287214,78,178.1,2026-09-20 21:42:39
191,1000,-19.986798,74,179.0,2026-09-20 21:42:40
192,1000,-21.796453,69,179.9,2026-09-20 21:42:41
193,1000,-4.696713,85,180.8,2026-09-20 21:42:41
194,1000,-2.594997,85,181.7,2026-09-20 21:42:42
195,1000,-19.736302,85,182.6,2026-09-20 21:42:43
196,1000,-32.715008,69,183.5,2026-09-20 21:42:44
197,1000,-22.218158,79,184.4,2026-09-20 21:42:45
198,1000,-7.367482,85,185.3,2026-09-20 21:42:46
199,1000,-5.574476,85,186.2,2026-09-20 21:42:47
200,1000,-9.723821,85,187.1,2026-09-20 21:42:48
201,1000,-5.512302,85,188.0,2026-09-20 21:42:49
202,1000,-2.805794,85,188.9,2026-09-20 21:42:50
203,1000,-6.803449,85,189.8,2026-09-20 21:42:50
204,1000,-6.245994,85,190.8,2026-09-20 21:42:51
205,1000,-5.199723,85,191.7,2026-09-20 21:42:52
206,1000,-31.039383,77,192.6,2026-09-20 21:42:53
207,1000,-4.209366,85,193.5,2026-09-20 21:42:54
208,1000,-5.047951,85,194.4,2026-09-20 21:42:55
209,1000,-5.121124,85,195.3,2026-09-20 21:42:56
210,1000,-29.305221,72,196.2,2026-09-20 21:42:57
211,1000,-5.617950,85,197.1,2026-09-20 21:42:58
212,1000,-4.499854,85,198.0,2026-09-20 21:42:59
213,1000,-2.498916,85,198.9,2026-09-20 21:43:00
214,1000,-5.017903,85,199.8,2026-09-20 21:43:00
215,1000,-22.810651,70,200.7,2026-09-20 21:43:01
216,1000,-3.835648,85,201.6,2026-09-20 21:43:02
217,1000,-9.360622,85,202.6,2026-09-20 21:43:03
218,1000,-4.401406,85,203.5,2026-09-20 21:43:04
219,1000,-13.622521,85,204.4,2026-09-20 21:43:05
220,1000,-2.440841,85,205.3,2026-09-20 21:43:06
221,1000,-10.367111,85,207.1,2026-09-20 21:43:08
222,1000,-4.556212,85,208.0,2026-09-20 21:43:09
223,1000,-4.767951,85,208.9,2026-09-20 21:43:10
224,1000,-5.117676,85,209.8,2026-09-20 21:43:10
225,1000,-14.903253,75,210.7,2026-09-20 21:43:11
226,1000,-9.249951,83,211.7,2026-09-20 21:43:12
227,1000,-3.615394,85,212.6,2026-09-20 21:43:13
228,1000,-3.502000,85,213.5,2026-09-20 21:43:14
229,1000,-4.519184,85,214.4,2026-09-20 21:43:15
230,1000,-3.961295,85,215.3,2026-09-20 21:43:16
231,1000,-3.446847,85,216.2,2026-09-20 21:43:17
232,1000,-6.580705,85,217.1,2026-09-20 21:43:18
233,1000,-3.656851,85,218.0,2026-09-20 21:43:19
234,1000,-8.101846,85,218.9,2026-09-20 21:43:20
235,1000,-8.069362,85,219.8,2026-09-20 21:43:20
236,1000,-7.130305,85,220.7,2026-09-20 21:43:21
237,1000,-16.922066,85,221.6,2026-09-20 21:43:22
238,1000,-5.288789,85,222.5,2026-09-20 21:43:23
239,1000,-6.904317,85,223.3,2026-09-20 21:43:24
240,1000,-10.308915,85,224.3,2026-09-20 21:43:25
241,1000,-6.944677,85,225.1,2026-09-20 21:43:26
242,1000,-3.366667,85,226.0,2026-09-20 21:43:27
243,1000,-11.496954,85,226.9,2026-09-20 21:43:28
244,1000,-9.508782,85,227.8,2026-09-20 21:43:28
245,1000,-32.414483,58,228.6,2026-09-20 21:43:29
246,1000,-21.898611,67,229.5,2026-09-20 21:43:30
247,1000,-4.557513,85,230.4,2026-09-20 21:43:31
248,1000,-5.610306,85,231.3,2026-09-20 21:43:32
249,1000,-12.536188,82,232.1,2026-09-20 21:43:33
250,1000,-5.743216,85,233.0,2026-09-20 21:43:34
251,1000,-2.836810,85,233.9,2026-09-20 21:43:35
252,1000,-3.302047,85,235.8,2026-09-20 21:43:36
253,1000,-3.802136,85,236.7,2026-09-20 21:43:37
254,1000,-3.351918,85,237.6,2026-09-20 21:43:38
255,1000,-4.705523,85,238.5,2026-09-20 21:43:39
256,1000,-2.948569,85,239.4,2026-09-20 21:43:40
257,1000,-4.173056,85,240.2,2026-09-20 21:43:41
258,1000,-5.995401,85,241.1,2026-09-20 21:43:42
259,1000,-2.787600,85,242.1,2026-09-20 21:43:43
260,1000,-4.618566,85,243.0,2026-09-20 21:43:44
261,1000,-3.718725,85,243.8,2026-09-20 21:43:44
262,1000,-4.406268,85,244.7,2026-09-20 21:43:45
263,1000,-5.060018,85,245.6,2026-09-20 21:43:46
264,1000,-32.922618,55,246.5,2026-09-20 21:43:47
265,1000,-16.057241,73,247.3,2026-09-20 21:43:48
266,1000,-4.192346,85,248.2,2026-09-20 21:43:49
267,1000,-5.985889,85,249.1,2026-09-20 21:43:50
268,1000,-6.248920,85,250.0,2026-09-20 21:43:51
269,1000,-7.965404,81,250.9,2026-09-20 21:43:52
270,1000,-7.731768,85,251.8,2026-09-20 21:43:52
271,1000,-7.799957,82,252.7,2026-09-20 21:43:53
272,1000,-8.929133,85,253.6,2026-09-20 21:43:54
273,1000,-3.959902,85,254.5,2026-09-20 21:43:55
274,1000,-11.801133,79,255.4,2026-09-20 21:43:56
275,1000,-6.060459,85,256.3,2026-09-20 21:43:57
276,1000,-5.850687,85,257.2,2026-09-20 21:43:58
277,1000,-3.514862,85,258.1,2026-09-20 21:43:59
278,1000,-4.863152,85,259.0,2026-09-20 21:44:00
279,1000,-3.162602,85,259.9,2026-09-20 21:44:01
280,1000,-7.053409,85,260.8,2026-09-20 21:44:01
281,1000,-4.346892,85,261.7,2026-09-20 21:44:02
282,1000,-2.818940,85,262.6,2026-09-20 21:44:03
283,1000,-10.653170,80,264.4,2026-09-20 21:44:05
284,1000,-6.437587,85,265.3,2026-09-20 21:44:06
285,1000,-3.137908,85,266.2,2026-09-20 21:44:07
286,1000,-5.307560,85,267.1,2026-09-20 21:44:08
287,1000,-3.709461,85,267.9,2026-09-20 21:44:09
288,1000,-1.996054,85,268.9,2026-09-20 21:44:10
289,1000,-2.782007,85,269.7,2026-09-20 21:44:10
290,1000,-4.822475,85,270.7,2026-09-20 21:44:11
291,1000,-3.809148,85,271.6,2026-09-20 21:44:12
292,1000,-3.442152,85,272.5,2026-09-20 21:44:13
293,1000,-2.993537,85,273.4,2026-09-20 21:44:14
294,1000,-1.887558,85,274.4,2026-09-20 21:44:15
295,1000,-3.225424,85,275.4,2026-09-20 21:44:16
296,1000,-3.823100,85,276.3,2026-09-20 21:44:17
297,1000,-5.739527,85,277.2,2026-09-20 21:44:18
298,1000,-2.717851,85,278.2,2026-09-20 21:44:19
299,1000,-3.586081,85,279.1,2026-09-20 21:44:20
300,1000,-4.033283,85,280.0,2026-09-20 21:44:21
301,1000,-5.309915,85,280.9,2026-09-20 21:44:22
302,1000,-3.664766,85,281.8,2026-09-20 21:44:22
303,1000,-5.279860,85,282.7,2026-09-20 21:44:23
304,1000,-3.375671,85,283.6,2026-09-20 21:44:24
305,1000,-4.881958,85,284.5,2026-09-20 21:44:25
306,1000,-3.387964,85,285.4,2026-09-20 21:44:26
307,1000,-6.988980,82,286.4,2026-09-20 21:44:27
308,1000,-23.683194,67,287.3,2026-09-20 21:44:28
309,1000,-2.382969,85,288.2,2026-09-20 21:44:29
310,1000,-5.506469,85,289.1,2026-09-20 21:44:30
311,1000,-3.140150,85,290.0,2026-09-20 21:44:31
312,1000,-3.906959,85,290.9,2026-09-20 21:44:32
313,1000,-6.159815,85,291.8,2026-09-20 21:44:32
314,1000,-1.844773,85,293.6,2026-09-20 21:44:34
315,1000,-3.513035,85,294.5,2026-09-20 21:44:35
316,1000,-2.760083,85,295.5,2026-09-20 21:44:36
317,1000,-2.933414,85,296.3,2026-09-20 21:44:37
318,1000,-4.012696,85,297.2,2026-09-20 21:44:38
319,1000,-5.562086,85,298.2,2026-09-20 21:44:39
320,1000,-1.006905,85,299.0,2026-09-20 21:44:40
321,1000,-3.279417,85,299.9,2026-09-20 21:44:41
322,1000,-17.154301,75,300.8,2026-09-20 21:44:41
323,1000,-1.500373,85,301.7,2026-09-20 21:44:42
324,1000,-2.547681,85,302.6,2026-09-20 21:44:43
325,1000,-2.199751,85,303.5,2026-09-20 21:44:44
326,1000,-4.524875,85,304.4,2026-09-20 21:44:45
327,1000,-1.120623,85,305.3,2026-09-20 21:44:46
328,1000,-4.767031,85,306.2,2026-09-20 21:44:47
329,1000,-3.021940,85,307.1,2026-09-20 21:44:48
330,1000,-4.716470,85,308.0,2026-09-20 21:44:49
331,1000,-26.865082,61,308.9,2026-09-20 21:44:50
332,1000,-2.781482,85,309.7,2026-09-20 21:44:50
333,1000,-3.949596,85,310.6,2026-09-20 21:44:51
334,1000,-4.024448,85,311.5,2026-09-20 21:44:52
335,1000,-8.109225,85,312.4,2026-09-20 21:44:53
336,1000,-5.649891,85,313.3,2026-09-20 21:44:54
337,1000,-11.541049,78,314.2,2026-09-20 21:44:55
338,1000,-3.719969,85,315.1,2026-09-20 21:44:56
339,1000,-5.116553,85,316.0,2026-09-20 21:44:57
340,1000,-4.554233,85,316.9,2026-09-20 21:44:58
341,1000,-4.626180,85,317.8,2026-09-20 21:44:58
342,1000,-2.843844,85,318.7,2026-09-20 21:44:59
343,1000,-7.490084,85,319.6,2026-09-20 21:45:00
344,1000,-3.678622,85,320.5,2026-09-20 21:45:01
345,1000,-1.741472,85,322.3,2026-09-20 21:45:03
346,1000,-4.464076,85,323.2,2026-09-20 21:45:04
347,1000,-1.892783,85,324.1,2026-09-20 21:45:05
348,1000,-13.278092,77,325.0,2026-09-20 21:45:06
349,1000,-5.804954,85,325.9,2026-09-20 21:45:07
350,1000,-1.801071,85,326.7,2026-09-20 21:45:07
351,1000,-3.575729,85,327.6,2026-09-20 21:45:08
352,1000,-5.763289,85,328.5,2026-09-20 21:45:09
353,1000,-2.597928,85,329.4,2026-09-20 21:45:10
354,1000,-4.585321,85,330.3,2026-09-20 21:45:11
355,1000,-5.120366,85,331.2,2026-09-20 21:45:12
356,1000,-1.283045,85,332.1,2026-09-20 21:45:13
357,1000,-2.874666,85,333.0,2026-09-20 21:45:14
358,1000,-4.822891,85,333.9,2026-09-20 21:45:15
359,1000,-3.376392,85,334.8,2026-09-20 21:45:15
360,1000,-3.818274,85,335.7,2026-09-20 21:45:16
361,1000,-3.524860,85,336.6,2026-09-20 21:45:17
362,1000,-5.516722,85,337.5,2026-09-20 21:45:18
363,1000,-4.385463,85,338.3,2026-09-20 21:45:19
364,1000,-8.649426,85,339.2,2026-09-20 21:45:20
365,1000,-12.590259,85,340.1,2026-09-20 21:45:21
366,1000,-4.357089,85,341.0,2026-09-20 21:45:22
367,1000,-3.108748,85,341.9,2026-09-20 21:45:23
368,1000,-1.576026,85,342.8,2026-09-20 21:45:23
369,1000,-4.176911,85,343.7,2026-09-20 21:45:24
370,1000,-4.948106,85,344.6,2026-09-20 21:45:25
371,1000,-9.688724,85,345.5,2026-09-20 21:45:26
372,1000,-1.083197,85,346.4,2026-09-20 21:45:27
373,1000,-1.127905,85,347.3,2026-09-20 21:45:28
374,1000,-14.450925,79,348.2,2026-09-20 21:45:29
375,1000,-3.919170,85,349.1,2026-09-20 21:45:30
376,1000,-10.240056,80,350.9,2026-09-20 21:45:32
377,1000,-3.162129,85,351.9,2026-09-20 21:45:33
378,1000,-1.621825,85,352.8,2026-09-20 21:45:33
379,1000,-1.906064,85,353.7,2026-09-20 21:45:34
380,1000,-1.932138,85,354.6,2026-09-20 21:45:35
381,1000,-1.764740,85,355.5,2026-09-20 21:45:36
382,1000,-2.423351,85,356.4,2026-09-20 21:45:37
383,1000,-0.930007,85,357.3,2026-09-20 21:45:38
384,1000,-9.480377,85,358.2,2026-09-20 21:45:39
385,1000,-1.653077,85,359.2,2026-09-20 21:45:40
386,1000,-2.177561,85,360.1,2026-09-20 21:45:41
387,1000,-6.699015,85,361.0,2026-09-20 21:45:42
388,1000,-1.412624,85,361.9,2026-09-20 21:45:43
389,1000,-3.837711,85,362.8,2026-09-20 21:45:43
390,1000,-4.073957,85,363.7,2026-09-20 21:45:44
391,1000,-0.903599,85,364.7,2026-09-20 21:45:45
392,1000,-15.353708,76,365.6,2026-09-20 21:45:46
393,1000,-1.946116,85,366.5,2026-09-20 21:45:47
394,1000,-2.936273,85,367.4,2026-09-20 21:45:48
395,1000,-1.265790,85,368.3,2026-09-20 21:45:49
396,1000,-3.716609,85,369.2,2026-09-20 21:45:50
397,1000,-1.824583,85,370.1,2026-09-20 21:45:51
398,1000,-0.986611,85,371.0,2026-09-20 21:45:52
399,1000,-3.773736,85,371.8,2026-09-20 21:45:52
