config,seed,nEpisodes,nAbort,nAbortCollision,success,K1,K2,K3,K4,K5,K6,K7,K8,K9,T1,T2
PPO_default,0,31,31,4,0,-72.6332326790116,1.0139004286968,2.36101669163572,0.0769864624137486,0.133333333333333,0.00713146874182173,0.0855788312345054,0.109971891386587,5.97599718618071,12.8724904026414,6.15123117666667
PPO_default,1,31,31,0,0,-58.0314030264183,0.0280212848221133,0.409421458765993,0.268254177531775,0,0.00681695720412493,0.464425495804289,0.220711593245023,6.38762474543444,9.92057871050856,6.53901368333333
PPO_default,2,31,31,0,0,-68.622242108487,0.447321188010554,1.5134671560646,0.153975982115563,0,0.0118878357030016,0.0394494463123333,0.176465827168288,3.12445725976446,16.1414935269465,6.68962481666667
PPO_default,3,31,31,0,0,-67.617297446588,0.932837297325712,1.76706522564946,0.405210662339561,0,0.0130693282679757,0.212545831562018,0.368857299192528,6.9754907148523,13.8680934798595,6.44693489
PPO_default,4,31,31,31,0,-135.85565621917,1.96990829233815,2.90956709723602,0.293669354139359,1,0,0.0482071481827006,0.312231567933766,3.7725446376861,14.3906065294786,6.71437913166667
PPO_default,5,31,31,31,0,-135.855863917348,1.9699212353304,2.90957609768038,0.293687222133606,1,0,0.0481927950432532,0.312243472481712,3.77237994517143,14.3203497523388,6.46192935333333
PPO_default,6,31,31,0,0,-66.7928689172168,0.580236827906755,1.50988461620347,0.0141380411339351,0,0.00742450836624844,0.453752917857679,0.0549466010454066,6.52843173674158,10.7681756882301,6.963621195
PPO_default,7,31,31,0,0,-69.2037740869283,0.743739001874152,1.88683113898785,0.173269410756206,0,0.0103535353535353,0.0590562726535201,0.185849452681531,7.59862868411665,14.213052664412,6.58916564166667
PPO_default,8,31,31,0,0,-69.8367477279614,0.820040304672866,2.01048814453462,0.173878359048711,0,0.0102453102453102,0.054507841925354,0.185852689558528,5.00477248383819,14.0478617133479,6.17867717166667
PPO_default,9,31,0,0,1,-2.42759338173899,0.052785973517066,0.415258285690624,0.128886342232529,0,0,0.402170307125152,0.0484253312714222,11.8187186310322,3.55254021256732,6.08156925333333
PPO_optimized,0,31,0,0,1,-0.3532961761205,0.00864461538769939,0.1446960369152,0.0476186147397619,0,0,0.011933985914538,0.0192803844536234,3.75464719337232,0.120116386721053,7.30073392
PPO_optimized,1,31,0,0,1,-0.089850932864772,0.00271065699375314,0.137194452262719,0.0105852018837879,0,0,0.0117360462959357,0.00839953235421792,5.16761221993611,0.0601444342267246,7.26101079666667
PPO_optimized,2,31,0,0,1,-0.125952872224939,0.00363823490570615,0.157990452625913,0.0168557458274878,0,0,0.011861972978432,0.0117584039558551,3.32046366913769,0.0604011532689205,7.38518032166667
PPO_optimized,3,31,0,0,1,-0.569594539037686,0.0197832059419082,0.182068649253107,0.0252394116678829,0,0,0.00900329520209605,0.023460150777064,0.673203112743339,0.420732052070016,7.25352273833333
PPO_optimized,4,31,0,0,1,-0.0844796913770613,0.00244466081027851,0.151749922845754,0.0127727003312161,0,0,0.0143058745336066,0.0121721140512743,7.47383429670451,0.109797540445527,7.30211728333333
PPO_optimized,5,31,0,0,1,-0.140178871574199,0.00374122058802963,0.141577010355346,0.0192245312685074,0,0,0.00927726793488866,0.0173844206037995,2.64742685972619,0.0917870472235361,7.31063789166667
PPO_optimized,6,31,0,0,1,-0.108591796366977,0.00304127056404332,0.155029393748538,0.0168150474900361,0,0,0.012631057807746,0.0131669715046719,3.36449534014468,0.0524762066409631,7.31484251666667
PPO_optimized,7,31,0,0,1,-0.125786218921121,0.00386379541651256,0.14805520079266,0.0129612543743689,0,0,0.0101255395874983,0.00947383289600958,2.3945422038238,0.073315456683223,7.24003959666667
PPO_optimized,8,31,0,0,1,-0.20706915801945,0.00706567510129371,0.146306714201671,0.0134948861832772,0,0,0.0148742141087307,0.0107138547275029,3.35849031476699,0.113258710977933,7.30079314666667
PPO_optimized,9,31,0,0,1,-0.128276488022657,0.00413377653574744,0.140121728981846,0.0121506412535702,0,0,0.011040876349715,0.0049500905347467,2.03707133733789,0.0895103898206449,7.29317803833333
TRPO_default,0,31,0,0,1,-0.221261574547236,0.00708123575995054,0.153026596784434,0.0204967386247214,0,0,0.00987817996908181,0.0187961461792863,2.21201551318167,0.210374706888706,8.653217565
TRPO_default,1,31,0,0,1,-0.170867219922871,0.00497845123032577,0.17005641068994,0.0171310395019797,0,0,0.0125179948687819,0.0151446409599297,3.62397043949294,0.157706442856958,8.707483165
TRPO_default,2,31,0,0,1,-0.890739414471071,0.0309063623921525,0.304905108065492,0.0324912755610101,0,0,0.00589484796245265,0.0218040438540915,1.10756628749234,0.942482015708909,8.760136845
TRPO_default,3,31,0,0,1,-0.108663673635724,0.00270314551355233,0.14061535144323,0.022014866909735,0,0,0.0151296111542754,0.0136126836930715,5.47841068165822,0.104851843134378,8.759388305
TRPO_default,4,31,0,0,1,-0.233111929451334,0.00759250823407281,0.190999015794858,0.0197403315649535,0,0,0.0139026476624219,0.0114227349193096,2.38967540040757,0.238671746674948,8.54497810166667
TRPO_default,5,31,0,0,1,-0.154532962107232,0.00461984249952626,0.158138613266144,0.0198163625373994,0,0,0.0124341995805408,0.0139477764494827,1.9077550901583,0.128565598288409,8.50536906
TRPO_default,6,31,0,0,1,-1.18954715484266,0.0296927975046028,0.258420533849621,0.0907272851641425,0,0,0.00767987213226183,0.0428747342985773,1.37768874237526,3.49677496865294,8.58903264166667
TRPO_default,7,31,0,0,1,-0.274847478607718,0.00973415237393459,0.142130147653674,0.0108679111025242,0,0,0.00967929629229961,0.0085003665758571,1.98222727485219,0.345828479786678,8.55635892666667
TRPO_default,8,31,0,0,1,-0.62536560439078,0.0199953061562498,0.238386870332714,0.0353512313240523,0,0,0.00842318908559458,0.0314849503245572,2.67049774586086,3.52531642495757,8.47417883
TRPO_default,9,31,0,0,1,-0.254267664471201,0.00815248021247101,0.18509360294409,0.0212862169396509,0,0,0.00916543533855808,0.020666633439499,2.15760795319255,0.29557510878133,8.48890118166667
