episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-8.512947,85,1.5,2026-09-20 19:59:26
2,1000,-11.515975,85,1.9,2026-09-20 19:59:27
3,1000,-10.562858,85,2.4,2026-09-20 19:59:27
4,1000,-12.036884,85,2.8,2026-09-20 19:59:27
5,1000,-9.253348,85,3.2,2026-09-20 19:59:28
6,1000,-9.738864,85,3.6,2026-09-20 19:59:28
7,1000,-12.086118,85,4.0,2026-09-20 19:59:29
8,1000,-8.487106,85,4.4,2026-09-20 19:59:29
9,1000,-11.628218,85,4.8,2026-09-20 19:59:29
10,1000,-9.258458,85,5.2,2026-09-20 19:59:30
11,1000,-5.041456,85,5.7,2026-09-20 19:59:30
12,1000,-9.930535,85,6.1,2026-09-20 19:59:31
13,1000,-9.419949,85,6.5,2026-09-20 19:59:31
14,1000,-10.421602,85,6.9,2026-09-20 19:59:32
15,1000,-7.828169,85,7.3,2026-09-20 19:59:32
16,1000,-6.284430,85,7.7,2026-09-20 19:59:32
17,1000,-11.180991,85,8.1,2026-09-20 19:59:33
18,1000,-11.721801,85,8.6,2026-09-20 19:59:33
19,1000,-11.555533,85,9.1,2026-09-20 19:59:34
20,1000,-9.911575,85,9.5,2026-09-20 19:59:34
21,1000,-5.613544,85,9.9,2026-09-20 19:59:35
22,1000,-16.265281,85,10.3,2026-09-20 19:59:35
23,1000,-7.743702,85,10.8,2026-09-20 19:59:35
24,1000,-6.858699,85,11.2,2026-09-20 19:59:36
25,1000,-10.752235,85,11.6,2026-09-20 19:59:36
26,1000,-8.647179,85,12.0,2026-09-20 19:59:37
27,1000,-11.123194,85,12.4,2026-09-20 19:59:37
28,1000,-8.571496,85,12.8,2026-09-20 19:59:37
29,1000,-13.320802,85,13.3,2026-09-20 19:59:38
30,1000,-10.691305,85,13.7,2026-09-20 19:59:38
31,1000,-8.325538,85,14.1,2026-09-20 19:59:39
32,1000,-12.742232,85,15.6,2026-09-20 19:59:40
33,1000,-8.198609,85,16.0,2026-09-20 19:59:41
34,1000,-16.865128,85,16.4,2026-09-20 19:59:41
35,1000,-4.619731,85,16.8,2026-09-20 19:59:41
36,1000,-15.529621,85,17.2,2026-09-20 19:59:42
37,1000,-9.378169,85,17.6,2026-09-20 19:59:42
38,1000,-8.261487,85,18.0,2026-09-20 19:59:43
39,1000,-7.536307,85,18.4,2026-09-20 19:59:43
40,1000,-4.041892,85,18.8,2026-09-20 19:59:43
41,1000,-6.389278,85,19.2,2026-09-20 19:59:44
42,1000,-25.895664,85,19.6,2026-09-20 19:59:44
43,1000,-6.350089,85,20.1,2026-09-20 19:59:45
44,1000,-3.936945,85,20.5,2026-09-20 19:59:45
45,1000,-19.452743,85,20.9,2026-09-20 19:59:46
46,1000,-5.127855,85,21.3,2026-09-20 19:59:46
47,1000,-13.450078,85,21.7,2026-09-20 19:59:46
48,1000,-8.358947,85,22.1,2026-09-20 19:59:47
49,1000,-6.166994,85,22.5,2026-09-20 19:59:47
50,1000,-9.225229,85,22.9,2026-09-20 19:59:48
51,1000,-25.593127,85,23.4,2026-09-20 19:59:48
52,1000,-6.844254,85,23.8,2026-09-20 19:59:48
53,1000,-7.172184,85,24.2,2026-09-20 19:59:49
54,1000,-11.937710,85,24.7,2026-09-20 19:59:49
55,1000,-7.614662,85,25.2,2026-09-20 19:59:50
56,1000,-12.995342,85,25.7,2026-09-20 19:59:50
57,1000,-7.708147,85,26.1,2026-09-20 19:59:51
58,1000,-6.970856,85,26.5,2026-09-20 19:59:51
59,1000,-12.307302,85,27.0,2026-09-20 19:59:52
60,1000,-10.089471,85,27.5,2026-09-20 19:59:52
61,1000,-7.043906,85,27.9,2026-09-20 19:59:53
62,1000,-4.111747,85,28.4,2026-09-20 19:59:53
63,1000,-10.345529,85,29.7,2026-09-20 19:59:54
64,1000,-5.858406,85,30.2,2026-09-20 19:59:55
65,1000,-6.397342,85,30.6,2026-09-20 19:59:55
66,1000,-7.093345,85,31.0,2026-09-20 19:59:56
67,1000,-5.481533,85,31.4,2026-09-20 19:59:56
68,1000,-6.011110,85,31.8,2026-09-20 19:59:56
69,1000,-14.546239,85,32.2,2026-09-20 19:59:57
70,1000,-8.277314,85,32.6,2026-09-20 19:59:57
71,1000,-22.219509,67,33.0,2026-09-20 19:59:58
72,1000,-5.801272,85,33.4,2026-09-20 19:59:58
73,1000,-6.750803,85,33.8,2026-09-20 19:59:58
74,1000,-6.832044,85,34.2,2026-09-20 19:59:59
75,1000,-5.243435,85,34.6,2026-09-20 19:59:59
76,1000,-4.343143,85,35.1,2026-09-20 20:00:00
77,1000,-8.755113,85,35.5,2026-09-20 20:00:00
78,1000,-6.501526,85,35.9,2026-09-20 20:00:01
79,1000,-8.973225,85,36.3,2026-09-20 20:00:01
80,1000,-5.018588,85,36.7,2026-09-20 20:00:01
81,1000,-8.576394,85,37.1,2026-09-20 20:00:02
82,1000,-7.450141,85,37.5,2026-09-20 20:00:02
83,1000,-8.248285,85,37.9,2026-09-20 20:00:03
84,1000,-8.511007,85,38.3,2026-09-20 20:00:03
85,1000,-10.079686,85,38.8,2026-09-20 20:00:03
86,1000,-5.622873,85,39.2,2026-09-20 20:00:04
87,1000,-5.427217,85,39.6,2026-09-20 20:00:04
88,1000,-5.754198,85,40.0,2026-09-20 20:00:05
89,1000,-5.682449,85,40.4,2026-09-20 20:00:05
90,1000,-14.499953,76,40.8,2026-09-20 20:00:05
91,1000,-12.547831,85,41.2,2026-09-20 20:00:06
92,1000,-6.337264,85,41.6,2026-09-20 20:00:06
93,1000,-7.548390,85,42.0,2026-09-20 20:00:07
94,1000,-5.873695,85,43.4,2026-09-20 20:00:08
95,1000,-7.888522,85,43.8,2026-09-20 20:00:08
96,1000,-7.005465,85,44.2,2026-09-20 20:00:09
97,1000,-7.132277,85,44.6,2026-09-20 20:00:09
98,1000,-7.718146,85,45.0,2026-09-20 20:00:10
99,1000,-6.534934,85,45.4,2026-09-20 20:00:10
100,1000,-8.500992,85,45.8,2026-09-20 20:00:10
101,1000,-2.547684,85,46.3,2026-09-20 20:00:11
102,1000,-6.651518,85,46.7,2026-09-20 20:00:11
103,1000,-6.821609,85,47.1,2026-09-20 20:00:12
104,1000,-5.146856,85,47.5,2026-09-20 20:00:12
105,1000,-7.789941,85,47.9,2026-09-20 20:00:12
106,1000,-7.632157,85,48.3,2026-09-20 20:00:13
107,1000,-8.132808,85,48.7,2026-09-20 20:00:13
108,1000,-4.352107,85,49.1,2026-09-20 20:00:14
109,1000,-6.114576,85,49.5,2026-09-20 20:00:14
110,1000,-5.014099,85,49.9,2026-09-20 20:00:15
111,1000,-5.998016,85,50.3,2026-09-20 20:00:15
112,1000,-7.021289,85,50.7,2026-09-20 20:00:15
113,1000,-5.927020,85,51.1,2026-09-20 20:00:16
114,1000,-6.981037,85,51.5,2026-09-20 20:00:16
115,1000,-7.290354,85,52.0,2026-09-20 20:00:17
116,1000,-4.555235,85,52.4,2026-09-20 20:00:17
117,1000,-4.432036,85,52.8,2026-09-20 20:00:17
118,1000,-5.560633,85,53.2,2026-09-20 20:00:18
119,1000,-6.045725,85,53.6,2026-09-20 20:00:18
120,1000,-7.334986,85,54.0,2026-09-20 20:00:19
121,1000,-9.285455,85,54.4,2026-09-20 20:00:19
122,1000,-4.693817,85,54.8,2026-09-20 20:00:19
123,1000,-8.278381,85,55.2,2026-09-20 20:00:20
124,1000,-9.078056,85,55.6,2026-09-20 20:00:20
125,1000,-7.681961,85,56.8,2026-09-20 20:00:21
126,1000,-4.475767,85,57.2,2026-09-20 20:00:22
127,1000,-7.082074,85,57.6,2026-09-20 20:00:22
128,1000,-8.186470,85,58.1,2026-09-20 20:00:23
129,1000,-5.198702,85,58.5,2026-09-20 20:00:23
130,1000,-13.274838,85,58.9,2026-09-20 20:00:24
131,1000,-4.622430,85,59.3,2026-09-20 20:00:24
132,1000,-6.363063,85,59.7,2026-09-20 20:00:24
133,1000,-9.060702,85,60.1,2026-09-20 20:00:25
134,1000,-7.010297,85,60.5,2026-09-20 20:00:25
135,1000,-4.761629,85,60.9,2026-09-20 20:00:26
136,1000,-8.622612,85,61.3,2026-09-20 20:00:26
137,1000,-8.093224,85,61.7,2026-09-20 20:00:26
138,1000,-16.146417,73,62.1,2026-09-20 20:00:27
139,1000,-5.805524,85,62.5,2026-09-20 20:00:27
140,1000,-4.717828,85,62.9,2026-09-20 20:00:28
141,1000,-8.576798,85,63.3,2026-09-20 20:00:28
142,1000,-5.281154,85,63.7,2026-09-20 20:00:28
143,1000,-8.284212,85,64.1,2026-09-20 20:00:29
144,1000,-7.641448,85,64.5,2026-09-20 20:00:29
145,1000,-7.081950,85,64.9,2026-09-20 20:00:30
146,1000,-8.423779,85,65.3,2026-09-20 20:00:30
147,1000,-4.335439,85,65.7,2026-09-20 20:00:30
148,1000,-16.599438,85,66.1,2026-09-20 20:00:31
149,1000,-5.587348,85,66.5,2026-09-20 20:00:31
150,1000,-4.957390,85,66.9,2026-09-20 20:00:32
151,1000,-15.266058,77,67.3,2026-09-20 20:00:32
152,1000,-4.180637,85,67.7,2026-09-20 20:00:32
153,1000,-6.082657,85,68.1,2026-09-20 20:00:33
154,1000,-7.586713,85,68.5,2026-09-20 20:00:33
155,1000,-9.324849,85,68.9,2026-09-20 20:00:34
156,1000,-17.026378,78,70.1,2026-09-20 20:00:35
157,1000,-26.125274,62,70.5,2026-09-20 20:00:35
158,1000,-18.268157,72,70.9,2026-09-20 20:00:35
159,1000,-21.773973,78,71.2,2026-09-20 20:00:36
160,1000,-5.130676,85,71.7,2026-09-20 20:00:36
161,1000,-4.597822,85,72.1,2026-09-20 20:00:37
162,1000,-6.443761,85,72.5,2026-09-20 20:00:37
163,1000,-9.114777,81,72.9,2026-09-20 20:00:38
164,1000,-18.306266,72,73.3,2026-09-20 20:00:38
165,1000,-11.194132,85,73.7,2026-09-20 20:00:38
166,1000,-7.121433,85,74.1,2026-09-20 20:00:39
167,1000,-17.686684,72,74.4,2026-09-20 20:00:39
168,1000,-5.605877,85,74.8,2026-09-20 20:00:39
169,1000,-4.063713,85,75.3,2026-09-20 20:00:40
170,1000,-22.733140,68,75.6,2026-09-20 20:00:40
171,1000,-6.127502,85,76.0,2026-09-20 20:00:41
172,1000,-5.142856,85,76.4,2026-09-20 20:00:41
173,1000,-3.774136,85,76.8,2026-09-20 20:00:41
174,1000,-5.467707,85,77.2,2026-09-20 20:00:42
175,1000,-5.464417,85,77.6,2026-09-20 20:00:42
176,1000,-5.731344,85,78.0,2026-09-20 20:00:43
177,1000,-10.887790,85,78.4,2026-09-20 20:00:43
178,1000,-6.037251,85,78.8,2026-09-20 20:00:43
179,1000,-6.233534,85,79.2,2026-09-20 20:00:44
180,1000,-6.147728,85,79.6,2026-09-20 20:00:44
181,1000,-7.272654,85,80.0,2026-09-20 20:00:45
182,1000,-4.916111,85,80.5,2026-09-20 20:00:45
183,1000,-5.030663,85,80.9,2026-09-20 20:00:46
184,1000,-7.838626,85,81.3,2026-09-20 20:00:46
185,1000,-8.058921,85,81.7,2026-09-20 20:00:46
186,1000,-6.245696,85,82.1,2026-09-20 20:00:47
187,1000,-7.732623,85,82.5,2026-09-20 20:00:47
188,1000,-20.840877,67,83.7,2026-09-20 20:00:48
189,1000,-5.069031,85,84.1,2026-09-20 20:00:49
190,1000,-6.926965,85,84.6,2026-09-20 20:00:49
191,1000,-8.349505,85,85.0,2026-09-20 20:00:50
192,1000,-4.740677,85,85.4,2026-09-20 20:00:50
193,1000,-6.198397,85,85.8,2026-09-20 20:00:50
194,1000,-5.076432,85,86.2,2026-09-20 20:00:51
195,1000,-20.129435,69,86.6,2026-09-20 20:00:51
196,1000,-7.102746,85,87.0,2026-09-20 20:00:52
197,1000,-4.914499,85,87.4,2026-09-20 20:00:52
198,1000,-9.474517,85,87.8,2026-09-20 20:00:52
199,1000,-5.011200,85,88.2,2026-09-20 20:00:53
200,1000,-5.108395,85,88.6,2026-09-20 20:00:53
201,1000,-4.226976,85,89.0,2026-09-20 20:00:54
202,1000,-4.531687,85,89.5,2026-09-20 20:00:54
203,1000,-4.140926,85,89.9,2026-09-20 20:00:54
204,1000,-5.432261,85,90.2,2026-09-20 20:00:55
205,1000,-5.059596,85,90.6,2026-09-20 20:00:55
