episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-15.782675,85,1.8,2026-09-20 19:08:25
2,1000,-9.837302,85,2.2,2026-09-20 19:08:25
3,1000,-12.795412,85,2.6,2026-09-20 19:08:25
4,1000,-15.943905,85,3.0,2026-09-20 19:08:26
5,1000,-9.839567,85,3.5,2026-09-20 19:08:26
6,1000,-6.689778,85,3.9,2026-09-20 19:08:27
7,1000,-13.165406,85,4.3,2026-09-20 19:08:27
8,1000,-6.990245,85,4.7,2026-09-20 19:08:28
9,1000,-9.526246,85,5.1,2026-09-20 19:08:28
10,1000,-10.343701,85,5.5,2026-09-20 19:08:28
11,1000,-8.622123,85,5.9,2026-09-20 19:08:29
12,1000,-9.465982,85,6.3,2026-09-20 19:08:29
13,1000,-4.210117,85,6.7,2026-09-20 19:08:30
14,1000,-12.595068,85,7.1,2026-09-20 19:08:30
15,1000,-8.502230,85,7.5,2026-09-20 19:08:30
16,1000,-10.580223,85,8.0,2026-09-20 19:08:31
17,1000,-7.985927,85,10.4,2026-09-20 19:08:33
18,1000,-18.119713,85,10.9,2026-09-20 19:08:34
19,1000,-4.779147,85,11.3,2026-09-20 19:08:34
20,1000,-4.231017,85,11.7,2026-09-20 19:08:35
21,1000,-10.606673,85,12.1,2026-09-20 19:08:35
22,1000,-17.577942,85,12.5,2026-09-20 19:08:35
23,1000,-17.343806,85,12.8,2026-09-20 19:08:36
24,1000,-8.206872,85,13.2,2026-09-20 19:08:36
25,1000,-26.737657,85,13.7,2026-09-20 19:08:37
26,1000,-18.293552,85,14.1,2026-09-20 19:08:37
27,1000,-6.957414,85,14.5,2026-09-20 19:08:37
28,1000,-14.612738,85,14.9,2026-09-20 19:08:38
29,1000,-7.937404,85,15.3,2026-09-20 19:08:38
30,1000,-6.828280,85,15.7,2026-09-20 19:08:39
31,1000,-9.695716,85,16.1,2026-09-20 19:08:39
32,1000,-4.348592,85,16.5,2026-09-20 19:08:39
33,1000,-7.408309,85,18.7,2026-09-20 19:08:42
34,1000,-10.904777,85,19.1,2026-09-20 19:08:42
35,1000,-2.840664,85,19.5,2026-09-20 19:08:42
36,1000,-10.955120,85,19.9,2026-09-20 19:08:43
37,1000,-10.239333,85,20.3,2026-09-20 19:08:43
38,1000,-23.736524,85,20.7,2026-09-20 19:08:44
39,1000,-11.823752,85,21.1,2026-09-20 19:08:44
40,1000,-13.755964,85,21.5,2026-09-20 19:08:44
41,1000,-29.079245,85,21.9,2026-09-20 19:08:45
42,1000,-13.714850,85,22.3,2026-09-20 19:08:45
43,1000,-12.397351,85,22.7,2026-09-20 19:08:46
44,1000,-9.835033,85,23.1,2026-09-20 19:08:46
45,1000,-12.309578,85,23.5,2026-09-20 19:08:46
46,1000,-24.793850,85,24.0,2026-09-20 19:08:47
47,1000,-19.047622,85,24.4,2026-09-20 19:08:47
48,1000,-8.583343,85,24.8,2026-09-20 19:08:48
49,1000,-13.010130,85,27.0,2026-09-20 19:08:50
50,1000,-19.371672,85,27.4,2026-09-20 19:08:50
51,1000,-9.715913,85,27.8,2026-09-20 19:08:51
52,1000,-5.425215,85,28.2,2026-09-20 19:08:51
53,1000,-12.378635,85,28.6,2026-09-20 19:08:52
54,1000,-5.796106,85,29.1,2026-09-20 19:08:52
55,1000,-13.840780,85,29.5,2026-09-20 19:08:52
56,1000,-12.649569,85,29.9,2026-09-20 19:08:53
57,1000,-15.810126,85,30.3,2026-09-20 19:08:53
58,1000,-29.631736,85,30.7,2026-09-20 19:08:54
59,1000,-13.092792,85,31.1,2026-09-20 19:08:54
60,1000,-7.521891,85,31.5,2026-09-20 19:08:54
61,1000,-11.790990,85,31.9,2026-09-20 19:08:55
62,1000,-12.180577,85,32.3,2026-09-20 19:08:55
63,1000,-7.204147,85,32.8,2026-09-20 19:08:56
64,1000,-9.439955,85,33.3,2026-09-20 19:08:56
65,1000,-12.272823,85,35.2,2026-09-20 19:08:58
66,1000,-10.642241,85,35.6,2026-09-20 19:08:59
67,1000,-20.503113,85,36.0,2026-09-20 19:08:59
68,1000,-29.165976,85,36.4,2026-09-20 19:08:59
