agent,mode,seed,episodes,mean_reward_last50,wallclock_min,git_commit,git_dirty,model_sha256,created
TRPO,default,0,1000,-0.735516,8.65,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:08:22
TRPO,default,1,1000,-0.518054,8.71,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:08:47
TRPO,default,2,1000,-1.609082,8.76,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:09:06
TRPO,default,3,1000,-0.516226,8.76,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:09:17
TRPO,default,4,1000,-0.579605,8.54,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:16:56
TRPO,default,5,1000,-0.590240,8.51,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:17:18
TRPO,default,6,1000,-3.493479,8.59,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:17:42
TRPO,default,7,1000,-0.691255,8.56,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:17:52
TRPO,default,8,1000,-2.766655,8.47,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:25:25
TRPO,default,9,1000,-0.713112,8.49,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:25:48
PPO,optimized,0,1000,-0.572791,7.30,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:58:28
PPO,optimized,1,1000,-0.195255,7.26,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:58:31
PPO,optimized,2,1000,-0.285699,7.39,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:59:21
PPO,optimized,3,1000,-0.972951,7.25,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:59:24
PPO,optimized,4,1000,-0.362671,7.30,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:59:49
PPO,optimized,5,1000,-0.395751,7.31,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:59:52
PPO,optimized,7,1000,-0.355346,7.24,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:05:47
PPO,optimized,6,1000,-0.273454,7.31,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:05:48
PPO,default,0,1000,-20.123165,6.15,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:05:59
PPO,default,1,1000,-7.294119,6.54,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:06:26
PPO,optimized,8,1000,-0.393363,7.30,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:06:40
PPO,optimized,9,1000,-0.356345,7.29,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:06:42
PPO,default,3,1000,-22.713895,6.45,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:12:16
PPO,default,2,1000,-20.490146,6.69,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:12:29
PPO,default,4,1000,-18.647118,6.71,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:12:43
PPO,default,5,1000,-21.109732,6.46,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:12:54
PPO,default,7,1000,-15.675702,6.59,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:13:18
PPO,default,6,1000,-13.452745,6.96,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:13:39
PPO,default,8,1000,-16.748354,6.18,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:18:27
PPO,default,9,1000,-4.654036,6.08,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 20:18:34
